Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code
An Giang,2025-05-04T00:00,26.1,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T03:00,25.5,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T06:00,25.2,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T09:00,28.6,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T12:00,32.3,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T15:00,33.0,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T18:00,28.9,33.4,25.2,0.6,9.3,7.05,9.97,12,80
An Giang,2025-05-04T21:00,27.0,33.4,25.2,0.2,9.3,7.05,9.97,12,3
An Giang,2025-05-05T00:00,26.0,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T03:00,25.5,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T06:00,25.0,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T09:00,28.5,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T12:00,32.0,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T15:00,33.3,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T18:00,29.7,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T21:00,26.9,33.8,25.0,0.0,13.3,9.1,10.74,12,1
An Giang,2025-05-06T00:00,26.3,33.5,25.3,0.0,13.3,7.5,10.98,12,1
An Giang,2025-05-06T03:00,25.9,33.5,25.3,0.0,13.3,7.5,10.98,12,1
An Giang,2025-05-06T06:00,25.3,33.5,25.3,0.0,13.3,7.5,10.98,12,2
An Giang,2025-05-06T09:00,29.3,33.5,25.3,0.0,13.3,7.5,10.98,12,1
An Giang,2025-05-06T12:00,33.2,33.5,25.3,0.0,13.3,7.5,10.98,12,1
An Giang,2025-05-06T15:00,31.8,33.5,25.3,0.5,13.3,7.5,10.98,12,80
An Giang,2025-05-06T18:00,30.1,33.5,25.3,0.0,13.3,7.5,10.98,12,3
An Giang,2025-05-06T21:00,27.3,33.5,25.3,0.0,13.3,7.5,10.98,12,0
An Giang,2025-05-07T00:00,26.5,33.6,25.8,0.0,12.7,7.5,10.98,12,0
An Giang,2025-05-07T03:00,26.0,33.6,25.8,0.0,12.7,7.5,10.98,12,1
An Giang,2025-05-07T06:00,25.8,33.6,25.8,0.0,12.7,7.5,10.98,12,2
An Giang,2025-05-07T09:00,29.3,33.6,25.8,0.1,12.7,7.5,10.98,12,2
An Giang,2025-05-07T12:00,32.7,33.6,25.8,0.0,12.7,7.5,10.98,12,2
An Giang,2025-05-07T15:00,33.6,33.6,25.8,0.0,12.7,7.5,10.98,12,2
An Giang,2025-05-07T18:00,30.7,33.6,25.8,0.0,12.7,7.5,10.98,12,2
An Giang,2025-05-07T21:00,27.6,33.6,25.8,0.0,12.7,7.5,10.98,12,1
An Giang,2025-05-08T00:00,27.0,34.0,26.5,0.0,13.5,8.9,10.99,12,2
An Giang,2025-05-08T03:00,26.5,34.0,26.5,0.0,13.5,8.9,10.99,12,1
An Giang,2025-05-08T06:00,26.9,34.0,26.5,0.0,13.5,8.9,10.99,12,2
An Giang,2025-05-08T09:00,30.6,34.0,26.5,0.0,13.5,8.9,10.99,12,2
An Giang,2025-05-08T12:00,33.4,34.0,26.5,0.1,13.5,8.9,10.99,12,2
An Giang,2025-05-08T15:00,34.0,34.0,26.5,0.0,13.5,8.9,10.99,12,2
