time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source
2025-03-17 18:00:00,23.0,20.2,84.0,,,290.0,7.2,,1014.8,,,Meteostat
2025-03-17 19:00:00,,,,,,,,,,,,Meteostat
2025-03-17 20:00:00,,,,,,,,,,,,Meteostat
2025-03-17 21:00:00,23.0,19.8,82.0,,,320.0,3.6,,1014.0,,,Meteostat
2025-03-17 22:00:00,,,,,,,,,,,,Meteostat
2025-03-17 23:00:00,,,,,,,,,,,,Meteostat
2025-03-18 00:00:00,23.5,20.1,81.0,,,320.0,10.8,,1016.5,,,Meteostat
2025-03-18 01:00:00,,,,,,,,,,,,Meteostat
2025-03-18 02:00:00,,,,,,,,,,,,Meteostat
2025-03-18 03:00:00,23.5,20.1,81.0,,,320.0,14.4,,1018.0,,,Meteostat
2025-03-18 04:00:00,,,,,,,,,,,,Meteostat
2025-03-18 05:00:00,,,,,,,,,,,,Meteostat
2025-03-18 06:00:00,25.5,20.1,72.0,,,360.0,10.8,,1015.9,,,Meteostat
2025-03-18 07:00:00,,,,,,,,,,,,Meteostat
2025-03-18 08:00:00,,,,,,,,,,,,Meteostat
2025-03-18 09:00:00,23.1,20.1,83.0,,,320.0,10.8,,1014.2,,,Meteostat
2025-03-18 10:00:00,,,,,,,,,,,,Meteostat
2025-03-18 11:00:00,,,,,,,,,,,,Meteostat
2025-03-18 12:00:00,23.0,19.0,78.0,,,340.0,10.8,,1015.9,,,Meteostat
2025-03-18 13:00:00,,,,,,,,,,,,Meteostat
2025-03-18 14:00:00,,,,,,,,,,,,Meteostat
2025-03-18 15:00:00,22.2,17.8,76.0,,,340.0,10.8,,1018.3,,,Meteostat
2025-03-18 16:00:00,,,,,,,,,,,,Meteostat
2025-03-18 17:00:00,,,,,,,,,,,,Meteostat
2025-03-18 18:00:00,21.7,16.9,74.0,,,320.0,14.4,,1018.0,,,Meteostat
2025-03-18 19:00:00,,,,,,,,,,,,Meteostat
2025-03-18 20:00:00,,,,,,,,,,,,Meteostat
2025-03-18 21:00:00,21.2,16.2,73.0,,,320.0,10.8,,1017.8,,,Meteostat
2025-03-18 22:00:00,,,,,,,,,,,,Meteostat
2025-03-18 23:00:00,,,,,,,,,,,,Meteostat
2025-03-19 00:00:00,21.7,16.6,73.0,,,340.0,10.8,,1019.4,,,Meteostat
2025-03-19 01:00:00,,,,,,,,,,,,Meteostat
2025-03-19 02:00:00,,,,,,,,,,,,Meteostat
2025-03-19 03:00:00,23.0,17.9,73.0,,,340.0,10.8,,1021.2,,,Meteostat
2025-03-19 04:00:00,,,,,,,,,,,,Meteostat
2025-03-19 05:00:00,,,,,,,,,,,,Meteostat
2025-03-19 06:00:00,24.7,17.7,65.0,,,340.0,10.8,,1018.5,,,Meteostat
2025-03-19 07:00:00,,,,,,,,,,,,Meteostat
2025-03-19 08:00:00,,,,,,,,,,,,Meteostat
2025-03-19 09:00:00,23.6,16.6,65.0,,,340.0,10.8,,1017.5,,,Meteostat
2025-03-19 10:00:00,,,,,,,,,,,,Meteostat
2025-03-19 11:00:00,,,,,,,,,,,,Meteostat
2025-03-19 12:00:00,20.7,17.5,82.0,,,320.0,10.8,,1019.1,,,Meteostat
2025-03-19 13:00:00,,,,,,,,,,,,Meteostat
2025-03-19 14:00:00,,,,,,,,,,,,Meteostat
2025-03-19 15:00:00,20.7,16.1,75.0,,,340.0,7.2,,1020.5,,,Meteostat
2025-03-19 16:00:00,,,,,,,,,,,,Meteostat
2025-03-19 17:00:00,,,,,,,,,,,,Meteostat
2025-03-19 18:00:00,20.6,15.4,72.0,,,320.0,7.2,,1019.3,,,Meteostat
2025-03-19 19:00:00,,,,,,,,,,,,Meteostat
2025-03-19 20:00:00,,,,,,,,,,,,Meteostat
2025-03-19 21:00:00,20.5,15.9,75.0,,,290.0,3.6,,1019.2,,,Meteostat
2025-03-19 22:00:00,,,,,,,,,,,,Meteostat
2025-03-19 23:00:00,,,,,,,,,,,,Meteostat
2025-03-20 00:00:00,21.2,16.6,75.0,,,320.0,7.2,,1020.7,,,Meteostat
2025-03-20 01:00:00,,,,,,,,,,,,Meteostat
2025-03-20 02:00:00,,,,,,,,,,,,Meteostat
2025-03-20 03:00:00,22.1,17.2,74.0,,,320.0,10.8,,1021.5,,,Meteostat
2025-03-20 04:00:00,,,,,,,,,,,,Meteostat
2025-03-20 05:00:00,,,,,,,,,,,,Meteostat
2025-03-20 06:00:00,22.5,17.4,73.0,,,320.0,10.8,,1019.3,,,Meteostat
2025-03-20 07:00:00,,,,,,,,,,,,Meteostat
2025-03-20 08:00:00,,,,,,,,,,,,Meteostat
2025-03-20 09:00:00,22.7,16.5,68.0,,,320.0,7.2,,1017.9,,,Meteostat
2025-03-20 10:00:00,,,,,,,,,,,,Meteostat
2025-03-20 11:00:00,,,,,,,,,,,,Meteostat
2025-03-20 12:00:00,22.0,15.8,68.0,,,340.0,10.8,,1018.6,,,Meteostat
2025-03-20 13:00:00,,,,,,,,,,,,Meteostat
2025-03-20 14:00:00,,,,,,,,,,,,Meteostat
2025-03-20 15:00:00,21.5,15.8,70.0,,,320.0,7.2,,1020.3,,,Meteostat
2025-03-20 16:00:00,,,,,,,,,,,,Meteostat
2025-03-20 17:00:00,,,,,,,,,,,,Meteostat
2025-03-20 18:00:00,21.2,16.0,72.0,,,290.0,10.8,,1018.9,,,Meteostat
2025-03-20 19:00:00,,,,,,,,,,,,Meteostat
2025-03-20 20:00:00,,,,,,,,,,,,Meteostat
2025-03-20 21:00:00,21.1,16.3,74.0,,,270.0,10.8,,1018.2,,,Meteostat
2025-03-20 22:00:00,,,,,,,,,,,,Meteostat
2025-03-20 23:00:00,,,,,,,,,,,,Meteostat
2025-03-21 00:00:00,22.2,16.7,71.0,,,290.0,10.8,,1020.0,,,Meteostat
2025-03-21 01:00:00,,,,,,,,,,,,Meteostat
2025-03-21 02:00:00,,,,,,,,,,,,Meteostat
2025-03-21 03:00:00,24.0,17.0,65.0,,,340.0,10.8,,1021.3,,,Meteostat
2025-03-21 04:00:00,,,,,,,,,,,,Meteostat
2025-03-21 05:00:00,,,,,,,,,,,,Meteostat
2025-03-21 06:00:00,24.0,17.0,65.0,,,340.0,10.8,,1019.2,,,Meteostat
2025-03-21 07:00:00,,,,,,,,,,,,Meteostat
2025-03-21 08:00:00,,,,,,,,,,,,Meteostat
2025-03-21 09:00:00,25.0,14.5,52.0,,,360.0,7.2,,1016.7,,,Meteostat
2025-03-21 10:00:00,,,,,,,,,,,,Meteostat
2025-03-21 11:00:00,,,,,,,,,,,,Meteostat
2025-03-21 12:00:00,22.2,14.1,60.0,,,340.0,10.8,,1018.5,,,Meteostat
2025-03-21 13:00:00,,,,,,,,,,,,Meteostat
2025-03-21 14:00:00,21.7,16.2,71.0,,,339.0,26.3,,1019.8,,,Meteostat
2025-03-21 15:00:00,22.0,14.4,62.0,0.0,,290.0,7.2,,1019.7,,3.0,Meteostat
2025-03-21 16:00:00,20.8,16.2,75.0,0.0,,315.0,23.4,,1019.3,,3.0,Meteostat
2025-03-21 17:00:00,20.7,15.9,74.0,0.0,,307.0,22.3,,1018.6,,3.0,Meteostat
2025-03-21 18:00:00,21.2,14.6,66.0,0.0,,290.0,14.4,,1017.8,,3.0,Meteostat
2025-03-21 19:00:00,20.1,15.9,77.0,0.0,,305.0,24.5,,1017.4,,3.0,Meteostat
2025-03-21 20:00:00,20.6,16.0,75.0,0.0,,308.0,23.8,,1016.9,,3.0,Meteostat
2025-03-21 21:00:00,21.5,14.4,64.0,0.0,,290.0,14.4,,1016.7,,3.0,Meteostat
