Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code
An Giang,2025-04-01T00:00,26.6,31.7,25.2,0.3,6.2,7.8,6.74,12,80
An Giang,2025-04-01T03:00,26.0,31.7,25.2,0.8,6.2,7.8,6.74,12,95
An Giang,2025-04-01T06:00,25.2,31.7,25.2,1.4,6.2,7.8,6.74,12,95
An Giang,2025-04-01T09:00,27.4,31.7,25.2,0.0,6.2,7.8,6.74,12,3
An Giang,2025-04-01T12:00,30.3,31.7,25.2,0.2,6.2,7.8,6.74,12,3
An Giang,2025-04-01T15:00,31.1,31.7,25.2,0.5,6.2,7.8,6.74,12,80
An Giang,2025-04-01T18:00,29.0,31.7,25.2,4.0,6.2,7.8,6.74,12,96
An Giang,2025-04-01T21:00,26.8,31.7,25.2,0.1,6.2,7.8,6.74,12,3
An Giang,2025-04-02T00:00,25.9,31.5,24.9,0.0,12.6,7.85,9.87,12,3
An Giang,2025-04-02T03:00,25.2,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-02T06:00,24.9,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-02T09:00,27.2,31.5,24.9,1.1,12.6,7.85,9.87,12,95
An Giang,2025-04-02T12:00,30.2,31.5,24.9,0.2,12.6,7.85,9.87,12,3
An Giang,2025-04-02T15:00,31.3,31.5,24.9,0.0,12.6,7.85,9.87,12,3
An Giang,2025-04-02T18:00,28.7,31.5,24.9,1.8,12.6,7.85,9.87,12,95
An Giang,2025-04-02T21:00,27.4,31.5,24.9,0.0,12.6,7.85,9.87,12,2
An Giang,2025-04-03T00:00,25.7,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T03:00,25.0,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T06:00,24.7,33.2,24.7,0.0,13.2,6.45,10.33,12,3
An Giang,2025-04-03T09:00,28.2,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T12:00,32.3,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T15:00,33.2,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-03T18:00,31.2,33.2,24.7,0.0,13.2,6.45,10.33,12,3
An Giang,2025-04-03T21:00,28.0,33.2,24.7,0.0,13.2,6.45,10.33,12,2
An Giang,2025-04-04T00:00,25.5,34.1,24.4,0.0,11.0,8.25,10.37,12,3
An Giang,2025-04-04T03:00,24.5,34.1,24.4,0.0,11.0,8.25,10.37,12,3
An Giang,2025-04-04T06:00,24.4,34.1,24.4,0.0,11.0,8.25,10.37,12,2
An Giang,2025-04-04T09:00,28.2,34.1,24.4,0.0,11.0,8.25,10.37,12,2
An Giang,2025-04-04T12:00,33.1,34.1,24.4,0.0,11.0,8.25,10.37,12,2
An Giang,2025-04-04T15:00,34.1,34.1,24.4,0.0,11.0,8.25,10.37,12,2
An Giang,2025-04-04T18:00,32.1,34.1,24.4,0.0,11.0,8.25,10.37,12,3
