Province,Time,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code
An Giang,2025-05-04T00:00,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T01:00,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T02:00,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T03:00,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T04:00,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T05:00,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T06:00,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T07:00,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T08:00,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T09:00,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T10:00,33.4,25.2,0.0,9.3,7.05,9.97,12,2
An Giang,2025-05-04T11:00,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T12:00,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T13:00,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T14:00,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T15:00,33.4,25.2,0.0,9.3,7.05,9.97,12,3
An Giang,2025-05-04T16:00,33.4,25.2,1.5,9.3,7.05,9.97,12,95
An Giang,2025-05-04T17:00,33.4,25.2,2.9,9.3,7.05,9.97,12,96
An Giang,2025-05-04T18:00,33.4,25.2,0.6,9.3,7.05,9.97,12,80
An Giang,2025-05-04T19:00,33.4,25.2,0.8,9.3,7.05,9.97,12,95
An Giang,2025-05-04T20:00,33.4,25.2,0.9,9.3,7.05,9.97,12,80
An Giang,2025-05-04T21:00,33.4,25.2,0.2,9.3,7.05,9.97,12,3
An Giang,2025-05-04T22:00,33.4,25.2,0.1,9.3,7.05,9.97,12,3
An Giang,2025-05-04T23:00,33.4,25.2,0.1,9.3,7.05,9.97,12,3
An Giang,2025-05-05T00:00,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T01:00,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T02:00,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T03:00,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T04:00,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T05:00,33.8,25.0,0.0,13.3,9.1,10.74,12,3
An Giang,2025-05-05T06:00,33.8,25.0,0.0,13.3,9.1,10.74,12,3
