Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
Bình Định,2025-05-14T00:00,23.6,32.2,22.5,0.0,13.4,8.3,8.75,12,45,96,28.7
Bình Định,2025-05-14T03:00,22.7,32.2,22.5,0.0,13.4,8.3,8.75,12,45,97,27.2
Bình Định,2025-05-14T06:00,22.8,32.2,22.5,0.0,13.4,8.3,8.75,12,2,95,27.1
Bình Định,2025-05-14T09:00,28.0,32.2,22.5,0.0,13.4,8.3,8.75,12,3,73,33.2
Bình Định,2025-05-14T12:00,31.2,32.2,22.5,0.0,13.4,8.3,8.75,12,3,56,36.3
Bình Định,2025-05-14T15:00,29.1,32.2,22.5,1.2,13.4,8.3,8.75,12,95,71,33.0
Bình Định,2025-05-14T18:00,26.5,32.2,22.5,0.1,13.4,8.3,8.75,12,3,80,31.1
Bình Định,2025-05-14T21:00,25.1,32.2,22.5,0.0,13.4,8.3,8.75,12,3,91,30.7
Bình Định,2025-05-15T00:00,24.2,30.6,22.9,0.0,11.9,9.15,6.39,12,3,94,29.4
Bình Định,2025-05-15T03:00,23.4,30.6,22.9,0.0,11.9,9.15,6.39,12,3,95,28.0
Bình Định,2025-05-15T06:00,23.2,30.6,22.9,0.0,11.9,9.15,6.39,12,3,91,27.2
Bình Định,2025-05-15T09:00,27.8,30.6,22.9,0.0,11.9,9.15,6.39,12,3,73,32.7
Bình Định,2025-05-15T12:00,30.4,30.6,22.9,0.0,11.9,9.15,6.39,12,3,59,34.2
Bình Định,2025-05-15T15:00,30.3,30.6,22.9,0.0,11.9,9.15,6.39,12,3,61,33.4
Bình Định,2025-05-15T18:00,27.1,30.6,22.9,0.0,11.9,9.15,6.39,12,3,78,31.6
Bình Định,2025-05-15T21:00,25.0,30.6,22.9,0.0,11.9,9.15,6.39,12,3,91,30.4
Bình Định,2025-05-16T00:00,23.9,33.2,22.4,0.0,15.3,9.1,11.0,12,3,96,29.2
Bình Định,2025-05-16T03:00,22.7,33.2,22.4,0.0,15.3,9.1,11.0,12,45,98,27.3
Bình Định,2025-05-16T06:00,22.8,33.2,22.4,0.0,15.3,9.1,11.0,12,3,94,27.0
Bình Định,2025-05-16T09:00,28.6,33.2,22.4,0.0,15.3,9.1,11.0,12,3,69,33.8
Bình Định,2025-05-16T12:00,32.4,33.2,22.4,0.0,15.3,9.1,11.0,12,2,52,37.7
Bình Định,2025-05-16T15:00,31.2,33.2,22.4,0.1,15.3,9.1,11.0,12,3,57,33.6
Bình Định,2025-05-16T18:00,27.1,33.2,22.4,0.5,15.3,9.1,11.0,12,80,77,31.7
Bình Định,2025-05-16T21:00,25.1,33.2,22.4,0.0,15.3,9.1,11.0,12,2,91,30.7
Bà Rịa - Vũng Tàu,2025-05-14T00:00,27.9,31.7,27.0,0.1,17.8,8.8,10.19,12,3,86,33.9
Bà Rịa - Vũng Tàu,2025-05-14T03:00,27.1,31.7,27.0,0.9,17.8,8.8,10.19,12,80,88,33.3
Bà Rịa - Vũng Tàu,2025-05-14T06:00,27.0,31.7,27.0,0.0,17.8,8.8,10.19,12,3,90,33.1
Bà Rịa - Vũng Tàu,2025-05-14T09:00,29.6,31.7,27.0,0.0,17.8,8.8,10.19,12,2,77,34.7
Bà Rịa - Vũng Tàu,2025-05-14T12:00,31.2,31.7,27.0,0.2,17.8,8.8,10.19,12,3,72,37.7
Bà Rịa - Vũng Tàu,2025-05-14T15:00,31.2,31.7,27.0,0.0,17.8,8.8,10.19,12,1,71,36.5
Bà Rịa - Vũng Tàu,2025-05-14T18:00,29.3,31.7,27.0,0.0,17.8,8.8,10.19,12,3,77,34.0
Bà Rịa - Vũng Tàu,2025-05-14T21:00,28.5,31.7,27.0,0.0,17.8,8.8,10.19,12,3,83,34.2
Bà Rịa - Vũng Tàu,2025-05-15T00:00,28.2,31.1,27.0,0.0,16.3,9.0,10.55,12,3,84,34.2
Bà Rịa - Vũng Tàu,2025-05-15T03:00,27.4,31.1,27.0,0.9,16.3,9.0,10.55,12,95,87,33.6
Bà Rịa - Vũng Tàu,2025-05-15T06:00,27.0,31.1,27.0,0.0,16.3,9.0,10.55,12,3,90,33.2
Bà Rịa - Vũng Tàu,2025-05-15T09:00,29.4,31.1,27.0,0.0,16.3,9.0,10.55,12,3,78,34.5
Bà Rịa - Vũng Tàu,2025-05-15T12:00,31.0,31.1,27.0,0.0,16.3,9.0,10.55,12,3,73,37.8
Bà Rịa - Vũng Tàu,2025-05-15T15:00,30.7,31.1,27.0,0.0,16.3,9.0,10.55,12,2,73,35.8
Bà Rịa - Vũng Tàu,2025-05-15T18:00,29.2,31.1,27.0,0.0,16.3,9.0,10.55,12,3,77,33.7
Bà Rịa - Vũng Tàu,2025-05-15T21:00,28.5,31.1,27.0,0.0,16.3,9.0,10.55,12,3,82,34.0
Bà Rịa - Vũng Tàu,2025-05-16T00:00,28.2,31.3,27.2,0.0,16.1,8.8,11.0,12,3,84,34.3
Bà Rịa - Vũng Tàu,2025-05-16T03:00,27.5,31.3,27.2,0.0,16.1,8.8,11.0,12,1,88,33.5
Bà Rịa - Vũng Tàu,2025-05-16T06:00,27.3,31.3,27.2,0.0,16.1,8.8,11.0,12,2,90,33.8
Bà Rịa - Vũng Tàu,2025-05-16T09:00,29.7,31.3,27.2,0.1,16.1,8.8,11.0,12,3,78,35.3
Bà Rịa - Vũng Tàu,2025-05-16T12:00,31.2,31.3,27.2,0.0,16.1,8.8,11.0,12,2,73,38.2
Bà Rịa - Vũng Tàu,2025-05-16T15:00,31.0,31.3,27.2,0.0,16.1,8.8,11.0,12,2,73,36.5
Bà Rịa - Vũng Tàu,2025-05-16T18:00,29.1,31.3,27.2,0.0,16.1,8.8,11.0,12,3,82,34.0
Bà Rịa - Vũng Tàu,2025-05-16T21:00,28.6,31.3,27.2,0.0,16.1,8.8,11.0,12,3,84,34.3
Bình Dương,2025-05-14T00:00,27.0,35.1,26.2,0.6,12.0,7.55,9.49,12,80,89,33.1
Bình Dương,2025-05-14T03:00,26.4,35.1,26.2,0.9,12.0,7.55,9.49,12,95,91,32.5
Bình Dương,2025-05-14T06:00,26.2,35.1,26.2,0.0,12.0,7.55,9.49,12,3,93,32.5
Bình Dương,2025-05-14T09:00,29.3,35.1,26.2,0.0,12.0,7.55,9.49,12,3,79,35.1
Bình Dương,2025-05-14T12:00,32.4,35.1,26.2,0.0,12.0,7.55,9.49,12,3,62,38.4
Bình Dương,2025-05-14T15:00,35.1,35.1,26.2,0.0,12.0,7.55,9.49,12,2,52,40.6
Bình Dương,2025-05-14T18:00,30.1,35.1,26.2,0.9,12.0,7.55,9.49,12,95,77,36.2
Bình Dương,2025-05-14T21:00,28.5,35.1,26.2,0.0,12.0,7.55,9.49,12,3,85,34.9
Bình Dương,2025-05-15T00:00,27.0,34.7,25.8,0.0,8.4,8.75,9.82,12,3,89,33.3
Bình Dương,2025-05-15T03:00,26.4,34.7,25.8,0.0,8.4,8.75,9.82,12,3,92,32.9
Bình Dương,2025-05-15T06:00,25.8,34.7,25.8,0.0,8.4,8.75,9.82,12,3,95,32.2
Bình Dương,2025-05-15T09:00,29.5,34.7,25.8,0.0,8.4,8.75,9.82,12,3,77,35.7
Bình Dương,2025-05-15T12:00,33.4,34.7,25.8,0.0,8.4,8.75,9.82,12,3,57,41.0
Bình Dương,2025-05-15T15:00,34.7,34.7,25.8,0.0,8.4,8.75,9.82,12,3,52,40.6
Bình Dương,2025-05-15T18:00,30.6,34.7,25.8,0.2,8.4,8.75,9.82,12,80,67,35.3
Bình Dương,2025-05-15T21:00,28.2,34.7,25.8,0.1,8.4,8.75,9.82,12,3,87,35.1
Bình Dương,2025-05-16T00:00,27.4,34.7,26.4,0.0,9.0,8.4,10.0,12,3,90,34.0
Bình Dương,2025-05-16T03:00,26.7,34.7,26.4,0.0,9.0,8.4,10.0,12,2,91,33.4
Bình Dương,2025-05-16T06:00,26.5,34.7,26.4,0.0,9.0,8.4,10.0,12,3,94,33.4
Bình Dương,2025-05-16T09:00,29.9,34.7,26.4,0.0,9.0,8.4,10.0,12,3,77,36.6
Bình Dương,2025-05-16T12:00,33.1,34.7,26.4,0.0,9.0,8.4,10.0,12,2,63,41.7
Bình Dương,2025-05-16T15:00,34.7,34.7,26.4,0.0,9.0,8.4,10.0,12,3,54,41.3
Bình Dương,2025-05-16T18:00,29.2,34.7,26.4,2.1,9.0,8.4,10.0,12,96,78,35.0
Bình Dương,2025-05-16T21:00,27.9,34.7,26.4,0.1,9.0,8.4,10.0,12,3,86,34.5
An Giang,2025-05-14T00:00,26.9,34.6,25.7,0.3,12.6,8.55,10.71,12,80,93,33.2
An Giang,2025-05-14T03:00,26.2,34.6,25.7,0.0,12.6,8.55,10.71,12,3,93,32.3
