Province,Time,Temperature,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Sundown_Hours,Weather_Code,Humidity,Feel_Like
An Giang,2025-04-13T00:00,26.9,34.1,25.6,0.0,8.1,9.3,9.82,12,0,87,32.6
An Giang,2025-04-13T03:00,25.9,34.1,25.6,0.0,8.1,9.3,9.82,12,0,93,32.0
An Giang,2025-04-13T06:00,25.6,34.1,25.6,0.0,8.1,9.3,9.82,12,45,97,32.0
An Giang,2025-04-13T09:00,30.1,34.1,25.6,0.2,8.1,9.3,9.82,12,2,76,36.2
An Giang,2025-04-13T12:00,34.1,34.1,25.6,0.0,8.1,9.3,9.82,12,2,58,41.2
An Giang,2025-04-13T15:00,31.6,34.1,25.6,1.3,8.1,9.3,9.82,12,95,70,37.5
An Giang,2025-04-14T00:00,26.7,34.0,25.3,0.1,13.4,6.55,9.84,12,2,92,33.3
An Giang,2025-04-14T03:00,25.8,34.0,25.3,0.0,13.4,6.55,9.84,12,2,95,31.9
An Giang,2025-04-14T06:00,25.3,34.0,25.3,0.0,13.4,6.55,9.84,12,2,95,31.0
An Giang,2025-04-14T09:00,28.8,34.0,25.3,0.1,13.4,6.55,9.84,12,3,80,34.3
An Giang,2025-04-14T12:00,32.4,34.0,25.3,0.0,13.4,6.55,9.84,12,2,57,37.2
An Giang,2025-04-14T15:00,33.7,34.0,25.3,0.0,13.4,6.55,9.84,12,3,53,38.0
An Giang,2025-04-15T00:00,27.3,33.5,25.1,0.1,12.4,9.0,9.54,12,3,86,33.5
An Giang,2025-04-15T03:00,25.5,33.5,25.1,0.0,12.4,9.0,9.54,12,45,95,31.6
An Giang,2025-04-15T06:00,25.1,33.5,25.1,0.0,12.4,9.0,9.54,12,3,95,31.1
An Giang,2025-04-15T09:00,29.4,33.5,25.1,0.0,12.4,9.0,9.54,12,3,73,33.8
An Giang,2025-04-15T12:00,32.8,33.5,25.1,0.0,12.4,9.0,9.54,12,2,58,38.1
An Giang,2025-04-15T15:00,33.0,33.5,25.1,0.1,12.4,9.0,9.54,12,3,59,37.9
An Giang,2025-04-16T00:00,26.7,34.1,25.5,0.0,12.0,8.3,10.1,12,2,89,32.6
An Giang,2025-04-16T03:00,26.0,34.1,25.5,0.0,12.0,8.3,10.1,12,2,91,32.2
An Giang,2025-04-16T06:00,25.5,34.1,25.5,0.0,12.0,8.3,10.1,12,2,93,31.6
An Giang,2025-04-16T09:00,28.8,34.1,25.5,0.0,12.0,8.3,10.1,12,3,79,34.0
An Giang,2025-04-16T12:00,32.3,34.1,25.5,0.0,12.0,8.3,10.1,12,3,61,38.2
An Giang,2025-04-16T15:00,33.9,34.1,25.5,0.0,12.0,8.3,10.1,12,3,53,39.0
An Giang,2025-04-17T00:00,26.3,33.2,25.3,3.2,9.2,9.1,9.25,12,96,90,32.2
An Giang,2025-04-17T03:00,25.5,33.2,25.3,3.2,9.2,9.1,9.25,12,95,91,31.0
An Giang,2025-04-17T06:00,25.3,33.2,25.3,0.0,9.2,9.1,9.25,12,3,94,31.4
An Giang,2025-04-17T09:00,28.4,33.2,25.3,0.0,9.2,9.1,9.25,12,3,81,34.2
An Giang,2025-04-17T12:00,32.3,33.2,25.3,0.1,9.2,9.1,9.25,12,3,64,40.2
An Giang,2025-04-17T15:00,33.1,33.2,25.3,0.0,9.2,9.1,9.25,12,3,60,38.9
An Giang,2025-04-18T00:00,27.2,33.2,25.4,0.9,6.8,9.15,10.0,12,95,90,33.4
An Giang,2025-04-18T03:00,25.7,33.2,25.4,0.0,6.8,9.15,10.0,12,3,91,31.2
An Giang,2025-04-18T06:00,25.4,33.2,25.4,0.0,6.8,9.15,10.0,12,3,93,31.1
An Giang,2025-04-18T09:00,28.8,33.2,25.4,0.6,6.8,9.15,10.0,12,80,83,35.2
An Giang,2025-04-18T12:00,32.0,33.2,25.4,0.0,6.8,9.15,10.0,12,3,67,39.2
An Giang,2025-04-18T15:00,32.6,33.2,25.4,0.0,6.8,9.15,10.0,12,3,64,38.3
