time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,23.3,20.6,85.0,0.0,,9.0,10.4,,1010.6,,3.0,Meteostat,Binh Thuan
2025-01-01 01:00:00,24.3,20.2,78.0,0.0,,352.0,6.5,,1011.5,,3.0,Meteostat,Binh Thuan
2025-01-01 02:00:00,25.4,20.2,73.0,0.0,,343.0,4.7,,1012.0,,3.0,Meteostat,Binh Thuan
2025-01-01 03:00:00,26.6,20.7,70.0,0.0,,312.0,6.1,,1011.5,,3.0,Meteostat,Binh Thuan
2025-01-01 04:00:00,28.1,19.6,60.0,0.0,,44.0,5.4,,1011.3,,3.0,Meteostat,Binh Thuan
2025-01-01 05:00:00,29.0,20.2,59.0,0.0,,119.0,12.2,,1010.6,,3.0,Meteostat,Binh Thuan
2025-01-01 06:00:00,29.0,21.0,62.0,0.0,,127.0,15.8,,1009.4,,3.0,Meteostat,Binh Thuan
2025-01-01 07:00:00,28.2,22.0,69.0,0.0,,141.0,15.1,,1008.1,,3.0,Meteostat,Binh Thuan
2025-01-01 08:00:00,26.7,21.2,72.0,0.0,,145.0,14.0,,1008.2,,3.0,Meteostat,Binh Thuan
2025-01-01 09:00:00,26.4,20.7,71.0,0.0,,154.0,14.8,,1008.0,,3.0,Meteostat,Binh Thuan
2025-01-01 10:00:00,26.0,20.8,73.0,0.0,,169.0,9.4,,1008.5,,3.0,Meteostat,Binh Thuan
2025-01-01 11:00:00,25.7,21.2,76.0,0.0,,216.0,7.2,,1008.5,,3.0,Meteostat,Binh Thuan
2025-01-01 12:00:00,25.1,21.6,81.0,0.0,,248.0,4.3,,1008.9,,3.0,Meteostat,Binh Thuan
2025-01-01 13:00:00,24.7,22.0,85.0,0.0,,215.0,5.0,,1009.9,,3.0,Meteostat,Binh Thuan
2025-01-01 14:00:00,24.4,22.8,91.0,0.0,,168.0,9.4,,1010.5,,3.0,Meteostat,Binh Thuan
2025-01-01 15:00:00,24.1,22.9,93.0,0.0,,108.0,12.2,,1011.1,,3.0,Meteostat,Binh Thuan
2025-01-01 16:00:00,24.0,22.8,93.0,0.0,,328.0,9.7,,1010.9,,3.0,Meteostat,Binh Thuan
2025-01-01 17:00:00,23.8,22.4,92.0,0.0,,302.0,5.8,,1010.9,,2.0,Meteostat,Binh Thuan
2025-01-01 18:00:00,23.3,22.3,94.0,0.0,,302.0,6.5,,1010.2,,1.0,Meteostat,Binh Thuan
2025-01-01 19:00:00,23.6,22.6,94.0,0.0,,17.0,5.4,,1009.5,,2.0,Meteostat,Binh Thuan
2025-01-01 20:00:00,23.1,22.4,96.0,0.0,,345.0,6.8,,1009.2,,3.0,Meteostat,Binh Thuan
2025-01-01 21:00:00,22.9,22.2,96.0,0.0,,333.0,6.5,,1008.6,,3.0,Meteostat,Binh Thuan
2025-01-01 22:00:00,22.6,21.8,95.0,0.0,,306.0,6.1,,1008.5,,3.0,Meteostat,Binh Thuan
2025-01-01 23:00:00,22.5,21.5,94.0,0.0,,290.0,7.2,,1009.0,,3.0,Meteostat,Binh Thuan
2025-01-02 00:00:00,23.7,21.8,89.0,0.0,,42.0,7.2,,1009.9,,3.0,Meteostat,Binh Thuan
2025-01-02 01:00:00,25.6,22.5,83.0,0.0,,131.0,9.4,,1010.9,,3.0,Meteostat,Binh Thuan
2025-01-02 02:00:00,27.0,23.0,79.0,0.0,,155.0,14.0,,1011.6,,3.0,Meteostat,Binh Thuan
