time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,24.1,21.2,84.0,0.0,,23.0,10.8,,1010.3,,3.0,Meteostat,Ca Mau
2025-01-01 01:00:00,25.2,21.3,79.0,0.0,,20.0,11.2,,1011.1,,3.0,Meteostat,Ca Mau
2025-01-01 02:00:00,26.5,20.6,70.0,0.0,,16.0,13.0,,1011.8,,3.0,Meteostat,Ca Mau
2025-01-01 03:00:00,27.3,20.6,67.0,0.0,,19.0,13.3,,1011.9,,3.0,Meteostat,Ca Mau
2025-01-01 04:00:00,27.0,20.8,69.0,0.0,,16.0,12.6,,1011.7,,3.0,Meteostat,Ca Mau
2025-01-01 05:00:00,27.9,21.4,68.0,0.0,,19.0,11.5,,1010.7,,3.0,Meteostat,Ca Mau
2025-01-01 06:00:00,28.2,22.0,69.0,0.0,,35.0,10.8,,1009.5,,3.0,Meteostat,Ca Mau
2025-01-01 07:00:00,28.3,22.5,71.0,0.0,,44.0,11.9,,1008.4,,3.0,Meteostat,Ca Mau
2025-01-01 08:00:00,28.3,22.8,72.0,0.0,,53.0,11.5,,1007.7,,3.0,Meteostat,Ca Mau
2025-01-01 09:00:00,29.2,22.9,69.0,0.0,,54.0,11.2,,1007.5,,3.0,Meteostat,Ca Mau
2025-01-01 10:00:00,28.4,23.3,74.0,0.0,,55.0,9.7,,1007.8,,3.0,Meteostat,Ca Mau
2025-01-01 11:00:00,27.3,23.3,79.0,0.0,,40.0,7.2,,1008.1,,3.0,Meteostat,Ca Mau
2025-01-01 12:00:00,26.8,23.5,82.0,0.0,,22.0,8.3,,1008.7,,3.0,Meteostat,Ca Mau
2025-01-01 13:00:00,26.4,23.7,85.0,0.0,,20.0,6.8,,1009.7,,3.0,Meteostat,Ca Mau
2025-01-01 14:00:00,25.8,23.8,89.0,0.0,,59.0,5.4,,1010.8,,3.0,Meteostat,Ca Mau
2025-01-01 15:00:00,25.7,23.9,90.0,0.0,,28.0,4.0,,1011.3,,3.0,Meteostat,Ca Mau
2025-01-01 16:00:00,25.4,24.0,92.0,0.0,,346.0,4.3,,1011.3,,3.0,Meteostat,Ca Mau
2025-01-01 17:00:00,25.2,23.8,92.0,0.0,,348.0,4.0,,1011.3,,3.0,Meteostat,Ca Mau
2025-01-01 18:00:00,24.8,23.6,93.0,0.0,,294.0,3.2,,1010.5,,3.0,Meteostat,Ca Mau
2025-01-01 19:00:00,25.4,24.0,92.0,0.0,,229.0,5.0,,1010.0,,3.0,Meteostat,Ca Mau
2025-01-01 20:00:00,25.3,24.1,93.0,0.0,,291.0,4.0,,1009.5,,3.0,Meteostat,Ca Mau
2025-01-01 21:00:00,25.2,23.6,91.0,0.0,,349.0,5.8,,1009.3,,3.0,Meteostat,Ca Mau
2025-01-01 22:00:00,25.1,23.0,88.0,0.0,,29.0,5.8,,1009.4,,3.0,Meteostat,Ca Mau
2025-01-01 23:00:00,24.5,22.8,90.0,0.0,,39.0,4.3,,1009.9,,3.0,Meteostat,Ca Mau
2025-01-02 00:00:00,25.4,22.7,85.0,0.0,,349.0,5.8,,1010.7,,3.0,Meteostat,Ca Mau
2025-01-02 01:00:00,26.3,21.9,77.0,0.0,,9.0,7.6,,1011.7,,3.0,Meteostat,Ca Mau
2025-01-02 02:00:00,27.1,21.6,72.0,0.0,,17.0,11.2,,1012.1,,3.0,Meteostat,Ca Mau
2025-01-02 03:00:00,27.9,21.7,69.0,0.0,,13.0,10.8,,1012.1,,3.0,Meteostat,Ca Mau
2025-01-02 04:00:00,28.7,22.0,67.0,0.0,,10.0,10.8,,1011.6,,3.0,Meteostat,Ca Mau
2025-01-02 05:00:00,28.5,22.3,69.0,0.0,,31.0,11.2,,1011.5,,3.0,Meteostat,Ca Mau
2025-01-02 06:00:00,28.5,22.0,68.0,0.0,,34.0,9.7,,1010.1,,3.0,Meteostat,Ca Mau
2025-01-02 07:00:00,28.3,22.1,69.0,0.0,,48.0,8.3,,1009.0,,3.0,Meteostat,Ca Mau
2025-01-02 08:00:00,28.0,22.3,71.0,0.0,,77.0,9.4,,1008.2,,3.0,Meteostat,Ca Mau
2025-01-02 09:00:00,27.2,22.6,76.0,0.0,,90.0,9.0,,1007.8,,3.0,Meteostat,Ca Mau
2025-01-02 10:00:00,28.3,22.1,69.0,0.0,,4.0,11.2,,1008.5,,3.0,Meteostat,Ca Mau
2025-01-02 11:00:00,27.0,22.2,75.0,0.0,,10.0,8.6,,1008.9,,2.0,Meteostat,Ca Mau
