time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,10.0,7.6,85.0,0.0,,14.0,4.7,,1019.5,,1.0,Meteostat,Cao Bang
2025-01-01 01:00:00,12.3,8.4,77.0,0.0,,281.0,5.0,,1020.2,,1.0,Meteostat,Cao Bang
2025-01-01 02:00:00,14.5,8.9,69.0,0.0,,290.0,5.4,,1020.6,,1.0,Meteostat,Cao Bang
2025-01-01 03:00:00,16.7,8.6,59.0,0.0,,220.0,6.8,,1020.1,,1.0,Meteostat,Cao Bang
2025-01-01 04:00:00,17.9,8.7,55.0,0.0,,206.0,7.9,,1019.6,,1.0,Meteostat,Cao Bang
2025-01-01 05:00:00,19.0,9.5,54.0,0.0,,171.0,10.1,,1018.1,,2.0,Meteostat,Cao Bang
2025-01-01 06:00:00,20.4,10.2,52.0,0.0,,119.0,8.3,,1016.2,,3.0,Meteostat,Cao Bang
2025-01-01 07:00:00,21.6,10.1,48.0,0.0,,133.0,6.1,,1014.5,,3.0,Meteostat,Cao Bang
2025-01-01 08:00:00,22.1,10.3,47.0,0.0,,157.0,7.2,,1013.7,,3.0,Meteostat,Cao Bang
2025-01-01 09:00:00,21.7,11.1,51.0,0.0,,150.0,8.3,,1013.7,,3.0,Meteostat,Cao Bang
2025-01-01 10:00:00,18.9,11.7,63.0,0.0,,116.0,7.9,,1014.0,,3.0,Meteostat,Cao Bang
2025-01-01 11:00:00,16.2,10.9,71.0,0.0,,88.0,6.8,,1014.5,,2.0,Meteostat,Cao Bang
2025-01-01 12:00:00,14.9,10.9,77.0,0.0,,112.0,8.3,,1015.6,,1.0,Meteostat,Cao Bang
2025-01-01 13:00:00,14.0,10.6,80.0,0.0,,92.0,7.9,,1016.5,,1.0,Meteostat,Cao Bang
2025-01-01 14:00:00,13.3,9.9,80.0,0.0,,92.0,8.6,,1017.1,,1.0,Meteostat,Cao Bang
2025-01-01 15:00:00,12.7,9.5,81.0,0.0,,72.0,7.2,,1017.8,,1.0,Meteostat,Cao Bang
2025-01-01 16:00:00,12.4,9.4,82.0,0.0,,66.0,7.6,,1018.1,,1.0,Meteostat,Cao Bang
2025-01-01 17:00:00,12.1,9.3,83.0,0.0,,75.0,7.2,,1018.2,,1.0,Meteostat,Cao Bang
2025-01-01 18:00:00,11.8,9.0,83.0,0.0,,73.0,6.1,,1018.4,,1.0,Meteostat,Cao Bang
2025-01-01 19:00:00,12.1,9.3,83.0,0.0,,52.0,3.6,,1018.5,,1.0,Meteostat,Cao Bang
2025-01-01 20:00:00,12.0,9.0,82.0,0.0,,93.0,2.9,,1018.1,,1.0,Meteostat,Cao Bang
2025-01-01 21:00:00,11.9,8.9,82.0,0.0,,67.0,2.9,,1018.0,,1.0,Meteostat,Cao Bang
2025-01-01 22:00:00,11.3,8.7,84.0,0.0,,107.0,2.9,,1018.3,,1.0,Meteostat,Cao Bang
2025-01-01 23:00:00,10.9,8.6,86.0,0.0,,94.0,3.2,,1019.1,,1.0,Meteostat,Cao Bang
2025-01-02 00:00:00,11.0,8.9,87.0,0.0,,266.0,2.5,,1020.0,,2.0,Meteostat,Cao Bang
2025-01-02 01:00:00,13.7,9.9,78.0,0.0,,278.0,4.3,,1020.9,,2.0,Meteostat,Cao Bang
2025-01-02 02:00:00,16.1,10.6,70.0,0.0,,251.0,3.2,,1021.5,,2.0,Meteostat,Cao Bang
2025-01-02 03:00:00,18.3,11.1,63.0,0.0,,229.0,4.3,,1021.3,,2.0,Meteostat,Cao Bang
2025-01-02 04:00:00,20.1,11.3,57.0,0.0,,217.0,5.8,,1020.5,,2.0,Meteostat,Cao Bang
2025-01-02 05:00:00,20.6,11.5,56.0,0.0,,238.0,5.0,,1019.6,,2.0,Meteostat,Cao Bang
2025-01-02 06:00:00,20.5,11.4,56.0,0.0,,246.0,5.4,,1018.3,,3.0,Meteostat,Cao Bang
2025-01-02 07:00:00,20.7,11.3,55.0,0.0,,249.0,4.3,,1017.4,,3.0,Meteostat,Cao Bang
