time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-03-17 17:00:00,21.0,17.0,78.0,,,330.0,9.4,,1018.2,,4.0,Meteostat,Da Nang
2025-03-17 18:00:00,21.2,17.8,81.0,,,320.0,3.6,,1018.1,,4.0,Meteostat,Da Nang
2025-03-17 19:00:00,21.0,17.0,78.0,,,340.0,7.6,,1017.8,,4.0,Meteostat,Da Nang
2025-03-17 20:00:00,21.0,18.0,83.0,,,360.0,7.6,,1017.7,,4.0,Meteostat,Da Nang
2025-03-17 21:00:00,21.2,17.2,78.0,,,320.0,3.6,,1017.4,,4.0,Meteostat,Da Nang
2025-03-17 22:00:00,21.0,17.0,78.0,,,340.0,7.6,,1018.3,,4.0,Meteostat,Da Nang
2025-03-17 23:00:00,21.0,17.0,78.0,,,330.0,7.6,,1019.0,,4.0,Meteostat,Da Nang
2025-03-18 00:00:00,21.7,16.9,74.0,,,320.0,3.6,,1019.6,,4.0,Meteostat,Da Nang
2025-03-18 01:00:00,22.0,16.9,73.0,,,330.0,9.4,,1020.1,,4.0,Meteostat,Da Nang
2025-03-18 02:00:00,22.0,16.9,73.0,,,340.0,13.0,,1020.6,,4.0,Meteostat,Da Nang
2025-03-18 03:00:00,23.1,16.6,67.0,,,320.0,10.8,,1020.9,,4.0,Meteostat,Da Nang
2025-03-18 04:00:00,23.0,18.1,74.0,,,350.0,13.0,,1020.5,,4.0,Meteostat,Da Nang
2025-03-18 05:00:00,21.0,18.9,88.0,,,20.0,27.7,,1019.9,,4.0,Meteostat,Da Nang
2025-03-18 06:00:00,20.7,17.9,84.0,,,20.0,7.2,,1019.4,,4.0,Meteostat,Da Nang
2025-03-18 07:00:00,21.0,18.0,83.0,,,20.0,33.5,,1019.1,,4.0,Meteostat,Da Nang
2025-03-18 08:00:00,20.0,18.0,88.0,,,20.0,33.5,,1018.8,,4.0,Meteostat,Da Nang
2025-03-18 09:00:00,20.2,17.4,84.0,,,360.0,10.8,,1018.4,,4.0,Meteostat,Da Nang
2025-03-18 10:00:00,20.0,18.0,88.0,,,20.0,33.5,,1019.1,,4.0,Meteostat,Da Nang
2025-03-18 11:00:00,19.0,17.0,88.0,,,20.0,31.7,,1019.8,,4.0,Meteostat,Da Nang
2025-03-18 12:00:00,19.5,16.7,84.0,,,360.0,7.2,,1020.1,,4.0,Meteostat,Da Nang
2025-03-18 13:00:00,19.0,17.0,88.0,,,10.0,24.1,,1021.0,,4.0,Meteostat,Da Nang
2025-03-18 14:00:00,20.0,16.0,78.0,,,10.0,24.1,,1021.5,,4.0,Meteostat,Da Nang
2025-03-18 15:00:00,20.1,15.7,76.0,,,20.0,7.2,,1022.6,,4.0,Meteostat,Da Nang
2025-03-18 16:00:00,20.0,16.0,78.0,,,10.0,16.6,,1021.8,,4.0,Meteostat,Da Nang
2025-03-18 17:00:00,20.0,16.0,78.0,,,10.0,14.8,,1021.5,,4.0,Meteostat,Da Nang
2025-03-18 18:00:00,20.0,15.8,77.0,,,360.0,3.6,,1021.8,,4.0,Meteostat,Da Nang
2025-03-18 19:00:00,20.0,16.0,78.0,,,10.0,13.0,,1021.1,,4.0,Meteostat,Da Nang
2025-03-18 20:00:00,20.0,16.0,78.0,,,360.0,9.4,,1021.1,,4.0,Meteostat,Da Nang
2025-03-18 21:00:00,20.2,15.2,73.0,,,320.0,3.6,,1021.7,,4.0,Meteostat,Da Nang
2025-03-18 22:00:00,20.0,15.0,73.0,,,340.0,11.2,,1021.6,,4.0,Meteostat,Da Nang
2025-03-18 23:00:00,20.0,15.0,73.0,,,330.0,11.2,,1022.2,,4.0,Meteostat,Da Nang
2025-03-19 00:00:00,20.2,15.6,75.0,,,340.0,7.2,,1023.3,,4.0,Meteostat,Da Nang
2025-03-19 01:00:00,20.0,17.0,83.0,,,350.0,14.8,,1023.4,,4.0,Meteostat,Da Nang
2025-03-19 02:00:00,20.0,16.0,78.0,,,360.0,18.4,,1024.0,,4.0,Meteostat,Da Nang
2025-03-19 03:00:00,21.0,15.1,69.0,,,340.0,3.6,,1024.8,,4.0,Meteostat,Da Nang
2025-03-19 04:00:00,21.0,15.1,69.0,,,360.0,11.2,,1023.8,,4.0,Meteostat,Da Nang
2025-03-19 05:00:00,21.0,15.1,69.0,,,10.0,14.8,,1023.0,,4.0,Meteostat,Da Nang
2025-03-19 06:00:00,22.0,14.6,63.0,,,340.0,3.6,,1022.3,,4.0,Meteostat,Da Nang
2025-03-19 07:00:00,22.0,15.1,65.0,,,10.0,16.6,,1021.9,,4.0,Meteostat,Da Nang
2025-03-19 08:00:00,22.0,15.1,65.0,,,340.0,11.2,,1021.5,,4.0,Meteostat,Da Nang
2025-03-19 09:00:00,21.5,14.6,65.0,,,320.0,7.2,,1021.0,,4.0,Meteostat,Da Nang
2025-03-19 10:00:00,20.0,15.0,73.0,,,340.0,16.6,,1021.4,,4.0,Meteostat,Da Nang
2025-03-19 11:00:00,20.0,15.0,73.0,,,330.0,14.8,,1021.7,,4.0,Meteostat,Da Nang
2025-03-19 12:00:00,20.0,14.6,71.0,,,340.0,3.6,,1022.1,,4.0,Meteostat,Da Nang
