time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,17.8,14.1,79.0,0.0,,20.0,10.8,,1014.9,,3.0,Meteostat,Gia Lai
2025-01-01 01:00:00,18.5,13.6,73.0,0.0,,32.0,16.9,,1015.2,,3.0,Meteostat,Gia Lai
2025-01-01 02:00:00,20.9,14.8,68.0,0.0,,32.0,15.1,,1015.4,,3.0,Meteostat,Gia Lai
2025-01-01 03:00:00,21.2,15.5,70.0,0.0,,90.0,3.6,,1015.5,,3.0,Meteostat,Gia Lai
2025-01-01 04:00:00,21.9,15.3,66.0,0.0,,42.0,11.5,,1015.0,,3.0,Meteostat,Gia Lai
2025-01-01 05:00:00,22.9,15.7,64.0,0.0,,42.0,10.1,,1013.9,,3.0,Meteostat,Gia Lai
2025-01-01 06:00:00,23.8,16.3,63.0,0.0,,20.0,10.8,,1011.8,,3.0,Meteostat,Gia Lai
2025-01-01 07:00:00,25.1,16.8,60.0,0.0,,79.0,12.6,,1011.2,,3.0,Meteostat,Gia Lai
2025-01-01 08:00:00,24.3,16.6,62.0,0.0,,94.0,13.0,,1011.0,,3.0,Meteostat,Gia Lai
2025-01-01 09:00:00,24.1,17.4,66.0,0.0,,110.0,3.6,,1010.7,,3.0,Meteostat,Gia Lai
2025-01-01 10:00:00,22.7,16.3,67.0,0.0,,102.0,14.4,,1011.7,,3.0,Meteostat,Gia Lai
2025-01-01 11:00:00,20.7,15.9,74.0,0.0,,92.0,16.2,,1012.5,,3.0,Meteostat,Gia Lai
2025-01-01 12:00:00,21.2,16.4,74.0,0.0,,70.0,3.6,,1012.3,,1.0,Meteostat,Gia Lai
2025-01-01 13:00:00,18.6,15.5,82.0,0.0,,35.0,14.0,,1013.8,,1.0,Meteostat,Gia Lai
2025-01-01 14:00:00,18.3,15.0,81.0,0.0,,34.0,12.2,,1014.1,,1.0,Meteostat,Gia Lai
2025-01-01 15:00:00,19.4,15.9,80.0,0.0,,90.0,3.6,,1013.9,,2.0,Meteostat,Gia Lai
2025-01-01 16:00:00,17.2,14.8,86.0,0.0,,58.0,13.0,,1014.0,,3.0,Meteostat,Gia Lai
2025-01-01 17:00:00,17.0,14.8,87.0,0.0,,57.0,13.3,,1013.7,,3.0,Meteostat,Gia Lai
2025-01-01 18:00:00,17.8,15.8,88.0,0.0,,90.0,3.6,,1013.7,,3.0,Meteostat,Gia Lai
2025-01-01 19:00:00,17.2,14.3,83.0,0.0,,31.0,14.0,,1013.1,,1.0,Meteostat,Gia Lai
2025-01-01 20:00:00,17.0,14.1,83.0,0.0,,34.0,14.8,,1012.8,,2.0,Meteostat,Gia Lai
2025-01-01 21:00:00,18.2,16.4,89.0,0.0,,0.0,0.0,,1013.1,,2.0,Meteostat,Gia Lai
2025-01-01 22:00:00,17.2,14.1,82.0,0.0,,27.0,15.5,,1013.0,,3.0,Meteostat,Gia Lai
2025-01-01 23:00:00,18.0,14.3,79.0,0.0,,22.0,16.6,,1013.2,,3.0,Meteostat,Gia Lai
2025-01-02 00:00:00,18.4,16.2,87.0,0.0,,0.0,0.0,,1014.5,,3.0,Meteostat,Gia Lai
2025-01-02 01:00:00,19.8,15.4,76.0,0.0,,29.0,15.1,,1014.3,,3.0,Meteostat,Gia Lai
2025-01-02 02:00:00,21.8,16.3,71.0,0.0,,28.0,13.0,,1014.7,,3.0,Meteostat,Gia Lai
2025-01-02 03:00:00,23.6,17.6,69.0,0.0,,0.0,0.0,,1013.8,,3.0,Meteostat,Gia Lai
2025-01-02 04:00:00,25.4,17.8,63.0,0.0,,32.0,11.2,,1013.8,,3.0,Meteostat,Gia Lai
2025-01-02 05:00:00,26.4,17.5,58.0,0.0,,46.0,15.1,,1013.2,,3.0,Meteostat,Gia Lai
2025-01-02 06:00:00,24.6,17.1,63.0,0.5,,20.0,7.2,,1012.2,,8.0,Meteostat,Gia Lai
2025-01-02 07:00:00,24.3,17.8,67.0,0.4,,16.0,16.2,,1011.9,,8.0,Meteostat,Gia Lai
2025-01-02 08:00:00,24.2,17.0,64.0,0.0,,22.0,15.5,,1011.5,,3.0,Meteostat,Gia Lai
2025-01-02 09:00:00,23.7,17.7,69.0,0.0,,20.0,7.2,,1011.3,,3.0,Meteostat,Gia Lai
2025-01-02 10:00:00,22.2,16.5,70.0,0.0,,25.0,14.0,,1012.5,,3.0,Meteostat,Gia Lai
2025-01-02 11:00:00,20.5,16.1,76.0,0.0,,21.0,16.6,,1013.0,,3.0,Meteostat,Gia Lai
2025-01-02 12:00:00,20.3,16.5,79.0,0.0,,50.0,3.6,,1013.5,,3.0,Meteostat,Gia Lai
2025-01-02 13:00:00,18.6,15.1,80.0,0.0,,30.0,18.0,,1014.6,,3.0,Meteostat,Gia Lai
2025-01-02 14:00:00,18.2,15.1,82.0,0.0,,31.0,19.1,,1015.1,,3.0,Meteostat,Gia Lai
2025-01-02 15:00:00,19.0,15.9,82.0,0.0,,70.0,3.6,,1014.7,,3.0,Meteostat,Gia Lai
2025-01-02 16:00:00,17.8,14.9,83.0,0.0,,27.0,19.8,,1015.1,,3.0,Meteostat,Gia Lai
2025-01-02 17:00:00,18.0,14.9,82.0,0.0,,23.0,20.5,,1014.6,,3.0,Meteostat,Gia Lai
2025-01-02 18:00:00,19.0,15.7,81.0,0.0,,20.0,7.2,,1013.8,,3.0,Meteostat,Gia Lai
2025-01-02 19:00:00,18.0,14.9,82.0,0.0,,29.0,20.9,,1013.6,,3.0,Meteostat,Gia Lai
2025-01-02 20:00:00,18.1,14.8,81.0,0.0,,30.0,20.2,,1012.7,,3.0,Meteostat,Gia Lai
2025-01-02 21:00:00,18.0,14.9,82.0,0.0,,20.0,3.6,,1013.5,,3.0,Meteostat,Gia Lai
2025-01-02 22:00:00,18.3,15.0,81.0,0.0,,34.0,21.6,,1013.0,,3.0,Meteostat,Gia Lai
2025-01-02 23:00:00,18.5,15.0,80.0,0.0,,32.0,21.6,,1013.7,,3.0,Meteostat,Gia Lai
2025-01-03 00:00:00,19.0,15.7,81.0,0.0,,20.0,10.8,,1014.4,,3.0,Meteostat,Gia Lai
2025-01-03 01:00:00,20.6,15.4,72.0,0.0,,30.0,21.6,,1015.1,,3.0,Meteostat,Gia Lai
2025-01-03 02:00:00,21.8,15.6,68.0,0.0,,29.0,24.1,,1015.5,,3.0,Meteostat,Gia Lai
2025-01-03 03:00:00,24.4,15.9,59.0,0.0,,20.0,18.0,,1015.0,,3.0,Meteostat,Gia Lai
2025-01-03 04:00:00,23.5,15.8,62.0,0.0,,36.0,24.1,,1014.8,,3.0,Meteostat,Gia Lai
2025-01-03 05:00:00,24.3,15.8,59.0,0.0,,35.0,25.2,,1014.2,,3.0,Meteostat,Gia Lai
2025-01-03 06:00:00,25.6,15.6,54.0,0.0,,20.0,18.0,,1012.1,,2.0,Meteostat,Gia Lai
2025-01-03 07:00:00,23.6,15.4,60.0,0.0,,29.0,22.7,,1012.6,,2.0,Meteostat,Gia Lai
2025-01-03 08:00:00,23.4,15.2,60.0,0.0,,35.0,22.7,,1012.3,,2.0,Meteostat,Gia Lai
2025-01-03 09:00:00,23.7,15.7,61.0,0.0,,50.0,14.4,,1012.1,,3.0,Meteostat,Gia Lai
2025-01-03 10:00:00,20.4,14.5,69.0,0.0,,46.0,21.6,,1013.2,,3.0,Meteostat,Gia Lai
2025-01-03 11:00:00,19.0,14.1,73.0,0.0,,50.0,21.6,,1014.1,,2.0,Meteostat,Gia Lai
2025-01-03 12:00:00,19.2,14.5,74.0,0.0,,50.0,7.2,,1014.3,,3.0,Meteostat,Gia Lai
2025-01-03 13:00:00,17.6,13.5,77.0,0.0,,40.0,23.0,,1015.5,,3.0,Meteostat,Gia Lai
2025-01-03 14:00:00,17.2,13.3,78.0,0.0,,37.0,23.0,,1015.4,,3.0,Meteostat,Gia Lai
2025-01-03 15:00:00,16.9,13.2,79.0,0.0,,50.0,7.2,,1016.3,,3.0,Meteostat,Gia Lai
2025-01-03 16:00:00,16.1,12.5,79.0,0.0,,35.0,22.7,,1015.2,,3.0,Meteostat,Gia Lai
2025-01-03 17:00:00,15.7,12.4,81.0,0.0,,44.0,21.6,,1015.4,,3.0,Meteostat,Gia Lai
2025-01-03 18:00:00,15.8,14.0,89.0,0.0,,50.0,3.6,,1015.5,,3.0,Meteostat,Gia Lai
2025-01-03 19:00:00,15.1,12.0,82.0,0.0,,38.0,22.0,,1014.6,,3.0,Meteostat,Gia Lai
2025-01-03 20:00:00,14.8,11.9,83.0,0.0,,35.0,22.3,,1013.7,,3.0,Meteostat,Gia Lai
2025-01-03 21:00:00,15.0,13.7,92.0,0.0,,50.0,3.6,,1014.5,,3.0,Meteostat,Gia Lai
2025-01-03 22:00:00,15.4,13.2,87.0,0.0,,33.0,22.0,,1013.4,,3.0,Meteostat,Gia Lai
2025-01-03 23:00:00,15.1,12.8,86.0,0.0,,29.0,22.3,,1014.0,,3.0,Meteostat,Gia Lai
2025-01-04 00:00:00,14.9,13.6,92.0,0.0,,20.0,7.2,,1016.1,,3.0,Meteostat,Gia Lai
2025-01-04 01:00:00,17.7,12.8,73.0,0.0,,25.0,20.9,,1015.5,,3.0,Meteostat,Gia Lai
2025-01-04 02:00:00,19.8,13.5,67.0,0.0,,39.0,17.3,,1015.9,,3.0,Meteostat,Gia Lai
2025-01-04 03:00:00,21.1,14.5,66.0,0.0,,20.0,18.0,,1015.7,,3.0,Meteostat,Gia Lai
2025-01-04 04:00:00,23.3,14.3,57.0,0.0,,47.0,15.1,,1015.1,,2.0,Meteostat,Gia Lai
2025-01-04 05:00:00,24.3,14.4,54.0,0.0,,50.0,14.0,,1014.2,,1.0,Meteostat,Gia Lai
2025-01-04 06:00:00,25.4,15.4,54.0,0.0,,90.0,3.6,,1011.8,,3.0,Meteostat,Gia Lai
2025-01-04 07:00:00,25.0,13.9,50.0,0.0,,80.0,15.5,,1012.2,,3.0,Meteostat,Gia Lai
2025-01-04 08:00:00,24.7,13.3,49.0,0.0,,72.0,11.9,,1011.7,,3.0,Meteostat,Gia Lai
2025-01-04 09:00:00,25.3,15.3,54.0,0.0,,70.0,10.8,,1010.8,,3.0,Meteostat,Gia Lai
2025-01-04 10:00:00,20.9,13.3,62.0,0.0,,88.0,18.0,,1012.6,,3.0,Meteostat,Gia Lai
2025-01-04 11:00:00,18.4,13.0,71.0,0.0,,78.0,19.4,,1014.1,,3.0,Meteostat,Gia Lai
2025-01-04 12:00:00,17.2,13.3,78.0,0.0,,90.0,10.8,,1015.3,,3.0,Meteostat,Gia Lai
2025-01-04 13:00:00,15.7,12.6,82.0,0.0,,57.0,19.4,,1016.4,,3.0,Meteostat,Gia Lai
2025-01-04 14:00:00,15.2,12.3,83.0,0.0,,30.0,18.4,,1016.0,,3.0,Meteostat,Gia Lai
2025-01-04 15:00:00,15.2,13.2,88.0,0.0,,20.0,3.6,,1017.0,,3.0,Meteostat,Gia Lai
2025-01-04 16:00:00,14.5,11.3,81.0,0.0,,20.0,17.3,,1015.8,,3.0,Meteostat,Gia Lai
