time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,12.0,11.1,94.0,0.0,,0.0,0.0,,1019.0,,5.0,Meteostat,Ha Noi
2025-01-01 01:00:00,14.0,13.0,94.0,0.0,,100.0,5.4,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-01 02:00:00,17.0,12.9,77.0,0.0,,80.0,5.4,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-01 03:00:00,19.0,12.0,64.0,0.0,,80.0,7.6,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-01 04:00:00,21.0,12.9,60.0,0.0,,90.0,7.6,,1019.0,,5.0,Meteostat,Ha Noi
2025-01-01 05:00:00,23.0,11.1,47.0,0.0,,337.0,7.6,,1017.0,,5.0,Meteostat,Ha Noi
2025-01-01 06:00:00,23.0,11.1,47.0,0.0,,277.0,5.4,,1016.0,,2.0,Meteostat,Ha Noi
2025-01-01 07:00:00,25.0,11.9,44.0,0.0,,140.0,3.6,,1015.0,,2.0,Meteostat,Ha Noi
2025-01-01 08:00:00,24.0,12.0,47.0,0.0,,322.0,5.4,,1014.0,,2.0,Meteostat,Ha Noi
2025-01-01 09:00:00,24.0,11.0,44.0,0.0,,200.0,5.4,,1014.0,,2.0,Meteostat,Ha Noi
2025-01-01 10:00:00,23.0,12.0,50.0,0.0,,180.0,5.4,,1014.0,,5.0,Meteostat,Ha Noi
2025-01-01 11:00:00,22.0,12.0,53.0,0.0,,170.0,5.4,,1015.0,,1.0,Meteostat,Ha Noi
2025-01-01 12:00:00,19.0,13.0,68.0,0.0,,342.0,3.6,,1015.0,,5.0,Meteostat,Ha Noi
2025-01-01 13:00:00,18.0,13.1,73.0,0.0,,150.0,3.6,,1016.0,,5.0,Meteostat,Ha Noi
2025-01-01 14:00:00,19.0,14.1,73.0,0.0,,140.0,13.0,,1017.0,,5.0,Meteostat,Ha Noi
2025-01-01 15:00:00,18.0,14.1,78.0,0.0,,120.0,11.2,,1017.0,,5.0,Meteostat,Ha Noi
2025-01-01 16:00:00,17.0,14.1,83.0,0.0,,100.0,7.6,,1017.0,,5.0,Meteostat,Ha Noi
2025-01-01 17:00:00,16.0,14.0,88.0,0.0,,80.0,7.6,,1017.0,,5.0,Meteostat,Ha Noi
2025-01-01 18:00:00,16.0,14.0,88.0,0.0,,90.0,7.6,,1018.0,,5.0,Meteostat,Ha Noi
2025-01-01 19:00:00,16.0,15.0,94.0,0.0,,60.0,7.6,,1018.0,,5.0,Meteostat,Ha Noi
2025-01-01 20:00:00,16.0,14.0,88.0,0.0,,70.0,3.6,,1018.0,,5.0,Meteostat,Ha Noi
2025-01-01 21:00:00,15.0,14.0,94.0,0.0,,100.0,5.4,,1018.0,,5.0,Meteostat,Ha Noi
2025-01-01 22:00:00,16.0,14.0,88.0,0.0,,133.0,3.6,,1018.0,,5.0,Meteostat,Ha Noi
2025-01-01 23:00:00,15.0,14.0,94.0,0.0,,0.0,0.0,,1018.0,,5.0,Meteostat,Ha Noi
2025-01-02 00:00:00,14.0,13.0,94.0,0.0,,90.0,7.6,,1019.0,,5.0,Meteostat,Ha Noi
2025-01-02 01:00:00,17.0,15.0,88.0,0.0,,70.0,7.6,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-02 02:00:00,20.0,15.0,73.0,0.0,,70.0,9.4,,1021.0,,5.0,Meteostat,Ha Noi
2025-01-02 03:00:00,21.0,12.9,60.0,0.0,,40.0,9.4,,1021.0,,5.0,Meteostat,Ha Noi
2025-01-02 04:00:00,22.0,12.0,53.0,0.0,,30.0,5.4,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-02 05:00:00,23.0,11.1,47.0,0.0,,140.0,5.4,,1018.0,,2.0,Meteostat,Ha Noi
2025-01-02 06:00:00,24.0,11.0,44.0,0.0,,340.0,3.6,,1017.0,,5.0,Meteostat,Ha Noi
2025-01-02 07:00:00,24.0,12.9,50.0,0.0,,300.0,7.6,,1017.0,,5.0,Meteostat,Ha Noi
2025-01-02 08:00:00,23.0,12.9,53.0,0.0,,290.0,9.4,,1016.0,,5.0,Meteostat,Ha Noi
2025-01-02 09:00:00,23.0,12.9,53.0,0.0,,290.0,5.4,,1016.0,,5.0,Meteostat,Ha Noi
2025-01-02 10:00:00,23.0,12.9,53.0,0.0,,290.0,7.6,,1017.0,,5.0,Meteostat,Ha Noi
2025-01-02 11:00:00,21.0,12.9,60.0,0.0,,310.0,7.6,,1017.0,,5.0,Meteostat,Ha Noi
2025-01-02 12:00:00,20.0,13.0,64.0,0.0,,340.0,5.4,,1018.0,,5.0,Meteostat,Ha Noi
2025-01-02 13:00:00,19.0,14.1,73.0,0.0,,320.0,5.4,,1019.0,,5.0,Meteostat,Ha Noi
2025-01-02 14:00:00,20.0,13.9,68.0,0.0,,310.0,3.6,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-02 15:00:00,20.0,13.0,64.0,0.0,,120.0,13.0,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-02 16:00:00,20.0,13.0,64.0,0.0,,110.0,9.4,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-02 17:00:00,20.0,13.9,68.0,0.0,,130.0,5.4,,1021.0,,5.0,Meteostat,Ha Noi
2025-01-02 18:00:00,20.0,13.9,68.0,0.0,,130.0,5.4,,1020.0,,3.0,Meteostat,Ha Noi
2025-01-02 19:00:00,18.0,15.1,83.0,0.0,,360.0,5.4,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-02 20:00:00,17.0,14.1,83.0,0.0,,50.0,1.8,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-02 21:00:00,16.0,14.0,88.0,0.0,,90.0,1.8,,1020.0,,5.0,Meteostat,Ha Noi
2025-01-02 22:00:00,15.0,14.0,94.0,0.0,,189.0,1.8,,1021.0,,5.0,Meteostat,Ha Noi
2025-01-02 23:00:00,15.0,13.0,88.0,0.0,,330.0,5.4,,1021.0,,5.0,Meteostat,Ha Noi
2025-01-03 00:00:00,15.0,13.0,88.0,0.0,,86.0,3.6,,1022.0,,5.0,Meteostat,Ha Noi
2025-01-03 01:00:00,16.0,14.0,88.0,0.0,,0.0,0.0,,1023.0,,5.0,Meteostat,Ha Noi
