time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,11.6,11.1,97.0,0.0,,310.0,6.1,,1018.3,,1.0,Meteostat,Hai Duong
2025-01-01 01:00:00,14.6,12.1,85.0,0.0,,318.0,5.0,,1018.9,,1.0,Meteostat,Hai Duong
2025-01-01 02:00:00,17.8,11.8,68.0,0.0,,334.0,3.2,,1019.4,,1.0,Meteostat,Hai Duong
2025-01-01 03:00:00,20.0,12.3,61.0,0.0,,6.0,2.2,,1019.2,,1.0,Meteostat,Hai Duong
2025-01-01 04:00:00,21.3,11.9,55.0,0.0,,279.0,4.3,,1018.9,,1.0,Meteostat,Hai Duong
2025-01-01 05:00:00,22.7,11.4,49.0,0.0,,286.0,9.0,,1017.6,,1.0,Meteostat,Hai Duong
2025-01-01 06:00:00,24.2,10.8,43.0,0.0,,342.0,15.1,,1015.7,,3.0,Meteostat,Hai Duong
2025-01-01 07:00:00,23.5,11.2,46.0,0.0,,126.0,18.4,,1014.6,,3.0,Meteostat,Hai Duong
2025-01-01 08:00:00,21.9,11.0,50.0,0.0,,129.0,15.5,,1014.3,,3.0,Meteostat,Hai Duong
2025-01-01 09:00:00,20.9,11.8,56.0,0.0,,132.0,13.3,,1014.5,,2.0,Meteostat,Hai Duong
2025-01-01 10:00:00,18.9,11.9,64.0,0.0,,134.0,12.2,,1014.8,,1.0,Meteostat,Hai Duong
2025-01-01 11:00:00,17.1,11.8,71.0,0.0,,120.0,11.9,,1015.5,,1.0,Meteostat,Hai Duong
2025-01-01 12:00:00,16.1,12.3,78.0,0.0,,116.0,9.0,,1016.4,,1.0,Meteostat,Hai Duong
2025-01-01 13:00:00,15.4,12.5,83.0,0.0,,113.0,7.6,,1016.8,,1.0,Meteostat,Hai Duong
2025-01-01 14:00:00,15.1,12.8,86.0,0.0,,103.0,8.3,,1017.1,,1.0,Meteostat,Hai Duong
2025-01-01 15:00:00,14.9,13.1,89.0,0.0,,86.0,9.0,,1017.4,,1.0,Meteostat,Hai Duong
2025-01-01 16:00:00,14.6,13.3,92.0,0.0,,82.0,7.6,,1017.3,,1.0,Meteostat,Hai Duong
2025-01-01 17:00:00,14.1,13.0,93.0,0.0,,72.0,7.6,,1017.3,,1.0,Meteostat,Hai Duong
2025-01-01 18:00:00,13.6,12.3,92.0,0.0,,61.0,6.8,,1017.3,,1.0,Meteostat,Hai Duong
2025-01-01 19:00:00,13.8,12.2,90.0,0.0,,58.0,7.9,,1017.2,,1.0,Meteostat,Hai Duong
2025-01-01 20:00:00,13.4,11.5,88.0,0.0,,34.0,7.2,,1016.9,,1.0,Meteostat,Hai Duong
2025-01-01 21:00:00,13.1,10.5,84.0,0.0,,359.0,6.1,,1017.1,,1.0,Meteostat,Hai Duong
2025-01-01 22:00:00,12.5,10.0,85.0,0.0,,331.0,5.4,,1017.4,,1.0,Meteostat,Hai Duong
2025-01-01 23:00:00,11.8,10.0,89.0,0.0,,325.0,5.4,,1017.8,,1.0,Meteostat,Hai Duong
2025-01-02 00:00:00,12.0,10.2,89.0,0.0,,327.0,5.8,,1018.6,,1.0,Meteostat,Hai Duong
2025-01-02 01:00:00,15.2,11.0,76.0,0.0,,333.0,7.2,,1019.3,,1.0,Meteostat,Hai Duong
2025-01-02 02:00:00,18.8,10.6,59.0,0.0,,0.0,8.3,,1020.1,,1.0,Meteostat,Hai Duong
2025-01-02 03:00:00,20.9,10.7,52.0,0.0,,49.0,10.1,,1020.0,,1.0,Meteostat,Hai Duong
2025-01-02 04:00:00,22.4,10.5,47.0,0.0,,64.0,10.4,,1019.6,,1.0,Meteostat,Hai Duong
2025-01-02 05:00:00,23.3,11.0,46.0,0.0,,59.0,9.7,,1018.8,,1.0,Meteostat,Hai Duong
2025-01-02 06:00:00,23.8,10.8,44.0,0.0,,76.0,11.2,,1017.5,,1.0,Meteostat,Hai Duong
2025-01-02 07:00:00,24.2,10.8,43.0,0.0,,98.0,12.6,,1016.5,,1.0,Meteostat,Hai Duong
2025-01-02 08:00:00,23.5,11.2,46.0,0.0,,127.0,13.7,,1016.2,,2.0,Meteostat,Hai Duong
2025-01-02 09:00:00,21.9,11.6,52.0,0.0,,136.0,14.8,,1016.1,,1.0,Meteostat,Hai Duong
2025-01-02 10:00:00,19.6,12.8,65.0,0.0,,138.0,9.7,,1016.9,,1.0,Meteostat,Hai Duong
2025-01-02 11:00:00,17.2,13.3,78.0,0.0,,131.0,7.6,,1017.6,,1.0,Meteostat,Hai Duong
2025-01-02 12:00:00,16.6,13.9,84.0,0.0,,128.0,7.6,,1018.3,,1.0,Meteostat,Hai Duong
2025-01-02 13:00:00,16.2,14.0,87.0,0.0,,114.0,6.1,,1019.0,,1.0,Meteostat,Hai Duong
2025-01-02 14:00:00,15.8,13.5,86.0,0.0,,76.0,5.8,,1019.7,,1.0,Meteostat,Hai Duong
2025-01-02 15:00:00,15.7,13.2,85.0,0.0,,64.0,4.3,,1020.0,,1.0,Meteostat,Hai Duong
2025-01-02 16:00:00,15.1,13.0,87.0,0.0,,9.0,5.4,,1020.1,,2.0,Meteostat,Hai Duong
2025-01-02 17:00:00,14.4,12.6,89.0,0.0,,335.0,6.1,,1020.1,,1.0,Meteostat,Hai Duong
2025-01-02 18:00:00,13.9,12.5,91.0,0.0,,326.0,6.5,,1019.9,,3.0,Meteostat,Hai Duong
2025-01-02 19:00:00,13.8,12.4,91.0,0.0,,323.0,8.6,,1019.5,,3.0,Meteostat,Hai Duong
2025-01-02 20:00:00,13.9,12.1,89.0,0.0,,321.0,10.4,,1019.3,,3.0,Meteostat,Hai Duong
2025-01-02 21:00:00,13.8,12.2,90.0,0.0,,318.0,10.1,,1019.4,,3.0,Meteostat,Hai Duong
2025-01-02 22:00:00,13.4,12.0,91.0,0.0,,319.0,8.6,,1019.7,,2.0,Meteostat,Hai Duong
2025-01-02 23:00:00,12.9,11.8,93.0,0.0,,312.0,7.9,,1020.5,,3.0,Meteostat,Hai Duong
2025-01-03 00:00:00,13.1,12.0,93.0,0.0,,315.0,7.6,,1021.2,,2.0,Meteostat,Hai Duong
2025-01-03 01:00:00,16.1,12.3,78.0,0.0,,334.0,9.4,,1021.8,,1.0,Meteostat,Hai Duong
2025-01-03 02:00:00,19.4,12.2,63.0,0.0,,2.0,7.2,,1022.5,,1.0,Meteostat,Hai Duong
2025-01-03 03:00:00,21.7,9.9,47.0,0.0,,24.0,9.0,,1022.3,,1.0,Meteostat,Hai Duong
2025-01-03 04:00:00,23.1,9.1,41.0,0.0,,34.0,9.0,,1021.5,,1.0,Meteostat,Hai Duong
2025-01-03 05:00:00,24.1,8.9,38.0,0.0,,44.0,9.4,,1020.3,,1.0,Meteostat,Hai Duong
2025-01-03 06:00:00,24.5,8.9,37.0,0.0,,55.0,11.9,,1018.7,,1.0,Meteostat,Hai Duong
2025-01-03 07:00:00,24.4,9.2,38.0,0.0,,93.0,14.4,,1017.5,,1.0,Meteostat,Hai Duong
2025-01-03 08:00:00,23.9,9.1,39.0,0.0,,118.0,13.3,,1017.1,,2.0,Meteostat,Hai Duong
2025-01-03 09:00:00,22.2,9.0,43.0,0.0,,130.0,14.0,,1017.2,,1.0,Meteostat,Hai Duong
2025-01-03 10:00:00,20.1,9.6,51.0,0.0,,127.0,10.8,,1017.7,,1.0,Meteostat,Hai Duong
2025-01-03 11:00:00,17.9,9.8,59.0,0.0,,125.0,10.1,,1018.3,,1.0,Meteostat,Hai Duong
2025-01-03 12:00:00,17.2,10.6,65.0,0.0,,122.0,11.2,,1018.3,,1.0,Meteostat,Hai Duong
2025-01-03 13:00:00,16.5,10.8,69.0,0.0,,114.0,8.6,,1018.8,,1.0,Meteostat,Hai Duong
2025-01-03 14:00:00,15.9,11.5,75.0,0.0,,104.0,6.8,,1019.2,,1.0,Meteostat,Hai Duong
2025-01-03 15:00:00,15.5,11.7,78.0,0.0,,95.0,6.5,,1019.4,,1.0,Meteostat,Hai Duong
2025-01-03 16:00:00,15.1,11.9,81.0,0.0,,92.0,6.5,,1019.3,,1.0,Meteostat,Hai Duong
