time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,22.3,19.1,82.0,0.0,,320.0,3.6,,1011.8,,3.0,Meteostat,Khanh Hoa
2025-01-01 01:00:00,23.5,17.9,71.0,0.0,,318.0,30.2,,1013.1,,3.0,Meteostat,Khanh Hoa
2025-01-01 02:00:00,24.2,18.2,69.0,0.0,,317.0,31.7,,1013.7,,3.0,Meteostat,Khanh Hoa
2025-01-01 03:00:00,24.1,19.8,77.0,0.0,,320.0,7.2,,1013.6,,3.0,Meteostat,Khanh Hoa
2025-01-01 04:00:00,25.6,19.0,67.0,0.0,,349.0,34.6,,1013.2,,3.0,Meteostat,Khanh Hoa
2025-01-01 05:00:00,25.8,18.7,65.0,0.0,,3.0,34.9,,1012.3,,3.0,Meteostat,Khanh Hoa
2025-01-01 06:00:00,25.5,19.9,71.0,0.0,,360.0,18.0,,1010.8,,3.0,Meteostat,Khanh Hoa
2025-01-01 07:00:00,25.6,19.0,67.0,0.0,,15.0,37.4,,1010.1,,3.0,Meteostat,Khanh Hoa
2025-01-01 08:00:00,25.3,19.2,69.0,0.0,,22.0,40.0,,1009.8,,3.0,Meteostat,Khanh Hoa
2025-01-01 09:00:00,25.2,19.8,72.0,0.0,,360.0,21.6,,1009.6,,3.0,Meteostat,Khanh Hoa
2025-01-01 10:00:00,24.5,19.1,72.0,0.0,,20.0,47.2,,1010.3,,3.0,Meteostat,Khanh Hoa
2025-01-01 11:00:00,23.9,19.0,74.0,0.0,,16.0,48.2,,1010.6,,3.0,Meteostat,Khanh Hoa
2025-01-01 12:00:00,24.0,20.1,79.0,0.0,,360.0,14.4,,1010.0,,3.0,Meteostat,Khanh Hoa
2025-01-01 13:00:00,23.6,18.7,74.0,0.0,,6.0,44.6,,1012.3,,3.0,Meteostat,Khanh Hoa
2025-01-01 14:00:00,23.8,18.7,73.0,0.0,,2.0,42.5,,1012.7,,3.0,Meteostat,Khanh Hoa
2025-01-01 15:00:00,23.9,19.2,75.0,0.0,,340.0,18.0,,1011.4,,3.0,Meteostat,Khanh Hoa
2025-01-01 16:00:00,23.4,18.9,76.0,0.0,,352.0,36.4,,1012.6,,3.0,Meteostat,Khanh Hoa
2025-01-01 17:00:00,23.3,19.0,77.0,0.0,,347.0,34.2,,1012.3,,3.0,Meteostat,Khanh Hoa
2025-01-01 18:00:00,23.5,19.6,79.0,0.0,,110.0,3.6,,1010.7,,3.0,Meteostat,Khanh Hoa
2025-01-01 19:00:00,23.2,19.2,78.0,0.0,,338.0,31.7,,1011.1,,3.0,Meteostat,Khanh Hoa
2025-01-01 20:00:00,23.2,18.9,77.0,0.0,,335.0,29.9,,1010.7,,3.0,Meteostat,Khanh Hoa
2025-01-01 21:00:00,23.2,20.5,85.0,0.0,,340.0,3.6,,1009.6,,3.0,Meteostat,Khanh Hoa
2025-01-01 22:00:00,23.2,18.3,74.0,0.0,,323.0,28.1,,1010.2,,3.0,Meteostat,Khanh Hoa
2025-01-01 23:00:00,23.1,18.2,74.0,0.0,,324.0,27.0,,1010.5,,3.0,Meteostat,Khanh Hoa
2025-01-02 00:00:00,23.4,20.0,81.0,0.0,,320.0,7.2,,1010.8,,3.0,Meteostat,Khanh Hoa
2025-01-02 01:00:00,24.5,19.3,73.0,0.0,,327.0,26.6,,1011.9,,3.0,Meteostat,Khanh Hoa
2025-01-02 02:00:00,25.0,20.0,74.0,0.0,,320.0,23.8,,1012.4,,3.0,Meteostat,Khanh Hoa
2025-01-02 03:00:00,26.5,19.9,67.0,0.0,,340.0,7.2,,1012.5,,3.0,Meteostat,Khanh Hoa
2025-01-02 04:00:00,26.2,21.2,74.0,0.0,,331.0,24.8,,1012.4,,3.0,Meteostat,Khanh Hoa
2025-01-02 05:00:00,27.3,20.4,66.0,0.0,,7.0,29.9,,1012.0,,3.0,Meteostat,Khanh Hoa
2025-01-02 06:00:00,27.0,21.1,70.0,0.4,,20.0,14.4,,1010.9,,8.0,Meteostat,Khanh Hoa
2025-01-02 07:00:00,26.5,20.8,71.0,0.0,,359.0,32.0,,1010.1,,3.0,Meteostat,Khanh Hoa
2025-01-02 08:00:00,25.4,21.9,81.0,0.5,,11.0,33.1,,1010.0,,8.0,Meteostat,Khanh Hoa
2025-01-02 09:00:00,24.4,21.7,85.0,0.5,,320.0,7.2,,1009.8,,8.0,Meteostat,Khanh Hoa
2025-01-02 10:00:00,24.2,22.6,91.0,0.1,,7.0,36.4,,1010.8,,7.0,Meteostat,Khanh Hoa
2025-01-02 11:00:00,23.6,22.2,92.0,0.7,,6.0,40.0,,1011.1,,8.0,Meteostat,Khanh Hoa
2025-01-02 12:00:00,24.4,21.5,84.0,0.6,,290.0,3.6,,1011.2,,8.0,Meteostat,Khanh Hoa
2025-01-02 13:00:00,23.6,22.2,92.0,0.5,,346.0,34.9,,1012.3,,8.0,Meteostat,Khanh Hoa
2025-01-02 14:00:00,23.9,22.0,89.0,0.2,,357.0,37.8,,1012.9,,7.0,Meteostat,Khanh Hoa
2025-01-02 15:00:00,24.0,20.1,79.0,0.0,,340.0,18.0,,1011.7,,3.0,Meteostat,Khanh Hoa
2025-01-02 16:00:00,24.0,20.7,82.0,0.0,,340.0,36.4,,1012.7,,3.0,Meteostat,Khanh Hoa
2025-01-02 17:00:00,24.1,20.6,81.0,0.0,,335.0,33.8,,1012.4,,3.0,Meteostat,Khanh Hoa
2025-01-02 18:00:00,24.6,20.7,79.0,0.0,,320.0,3.6,,1010.6,,3.0,Meteostat,Khanh Hoa
2025-01-02 19:00:00,23.9,20.2,80.0,0.0,,336.0,32.8,,1011.4,,3.0,Meteostat,Khanh Hoa
2025-01-02 20:00:00,24.0,20.1,79.0,0.0,,336.0,33.8,,1010.6,,3.0,Meteostat,Khanh Hoa
2025-01-02 21:00:00,24.1,19.8,77.0,0.0,,320.0,7.2,,1009.7,,3.0,Meteostat,Khanh Hoa
2025-01-02 22:00:00,24.0,19.5,76.0,0.0,,338.0,36.4,,1010.9,,3.0,Meteostat,Khanh Hoa
2025-01-02 23:00:00,24.1,19.4,75.0,0.0,,337.0,33.8,,1011.5,,3.0,Meteostat,Khanh Hoa
2025-01-03 00:00:00,25.3,21.4,79.0,0.0,,340.0,10.8,,1011.9,,3.0,Meteostat,Khanh Hoa
2025-01-03 01:00:00,24.3,20.2,78.0,0.0,,339.0,33.8,,1013.3,,3.0,Meteostat,Khanh Hoa
2025-01-03 02:00:00,24.4,21.3,83.0,0.1,,347.0,41.4,,1014.1,,7.0,Meteostat,Khanh Hoa
2025-01-03 03:00:00,25.4,20.2,73.0,0.2,,360.0,18.0,,1013.1,,7.0,Meteostat,Khanh Hoa
2025-01-03 04:00:00,24.7,21.4,82.0,0.3,,352.0,40.0,,1013.7,,8.0,Meteostat,Khanh Hoa
2025-01-03 05:00:00,24.7,21.6,83.0,0.5,,357.0,43.9,,1013.0,,8.0,Meteostat,Khanh Hoa
2025-01-03 06:00:00,25.5,21.0,76.0,0.8,,360.0,25.2,,1011.5,,8.0,Meteostat,Khanh Hoa
2025-01-03 07:00:00,24.3,21.6,85.0,0.6,,0.0,44.6,,1011.4,,8.0,Meteostat,Khanh Hoa
2025-01-03 08:00:00,24.4,21.5,84.0,0.6,,1.0,46.4,,1011.1,,8.0,Meteostat,Khanh Hoa
2025-01-03 09:00:00,24.4,21.7,85.0,3.8,,360.0,14.4,,1010.8,,9.0,Meteostat,Khanh Hoa
2025-01-03 10:00:00,23.3,21.0,87.0,4.4,,359.0,47.9,,1011.7,,9.0,Meteostat,Khanh Hoa
2025-01-03 11:00:00,23.2,20.5,85.0,1.4,,358.0,47.5,,1012.2,,9.0,Meteostat,Khanh Hoa
2025-01-03 12:00:00,24.6,19.7,74.0,0.0,,360.0,28.8,,1011.8,,3.0,Meteostat,Khanh Hoa
2025-01-03 13:00:00,24.0,19.1,74.0,0.0,,354.0,45.4,,1014.0,,3.0,Meteostat,Khanh Hoa
2025-01-03 14:00:00,24.1,19.0,73.0,0.0,,352.0,46.4,,1014.1,,3.0,Meteostat,Khanh Hoa
2025-01-03 15:00:00,24.6,20.7,79.0,0.0,,360.0,25.2,,1012.9,,3.0,Meteostat,Khanh Hoa
2025-01-03 16:00:00,23.4,18.9,76.0,0.0,,354.0,48.2,,1013.5,,3.0,Meteostat,Khanh Hoa
2025-01-03 17:00:00,23.1,18.8,77.0,0.0,,354.0,43.2,,1013.9,,3.0,Meteostat,Khanh Hoa
2025-01-03 18:00:00,23.8,18.0,70.0,0.0,,360.0,21.6,,1011.8,,3.0,Meteostat,Khanh Hoa
2025-01-03 19:00:00,22.6,18.6,78.0,0.0,,348.0,40.7,,1012.3,,3.0,Meteostat,Khanh Hoa
