time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,10.7,8.1,84.0,0.0,,62.0,4.0,,1018.7,,1.0,Meteostat,Lang Son
2025-01-01 01:00:00,14.0,8.8,71.0,0.0,,33.0,5.4,,1019.3,,1.0,Meteostat,Lang Son
2025-01-01 02:00:00,17.2,8.9,58.0,0.0,,25.0,4.7,,1019.7,,1.0,Meteostat,Lang Son
2025-01-01 03:00:00,19.3,9.2,52.0,0.0,,44.0,4.3,,1019.5,,1.0,Meteostat,Lang Son
2025-01-01 04:00:00,20.4,9.6,50.0,0.0,,344.0,5.0,,1019.0,,1.0,Meteostat,Lang Son
2025-01-01 05:00:00,21.4,9.9,48.0,0.0,,326.0,4.3,,1017.7,,1.0,Meteostat,Lang Son
2025-01-01 06:00:00,22.2,10.0,46.0,0.0,,307.0,4.0,,1016.0,,1.0,Meteostat,Lang Son
2025-01-01 07:00:00,22.7,10.2,45.0,0.0,,280.0,4.0,,1014.8,,1.0,Meteostat,Lang Son
2025-01-01 08:00:00,22.6,10.1,45.0,0.0,,262.0,5.0,,1014.2,,1.0,Meteostat,Lang Son
2025-01-01 09:00:00,22.3,10.8,48.0,0.0,,248.0,6.5,,1014.2,,1.0,Meteostat,Lang Son
2025-01-01 10:00:00,19.8,12.3,62.0,0.0,,238.0,7.9,,1014.4,,1.0,Meteostat,Lang Son
2025-01-01 11:00:00,17.4,11.9,70.0,0.0,,217.0,5.4,,1015.4,,1.0,Meteostat,Lang Son
2025-01-01 12:00:00,16.0,11.8,76.0,0.0,,98.0,6.5,,1016.4,,1.0,Meteostat,Lang Son
2025-01-01 13:00:00,14.8,11.6,81.0,0.0,,126.0,8.6,,1017.1,,1.0,Meteostat,Lang Son
2025-01-01 14:00:00,14.0,9.8,76.0,0.0,,123.0,9.4,,1017.6,,1.0,Meteostat,Lang Son
2025-01-01 15:00:00,13.4,9.1,75.0,0.0,,128.0,8.3,,1018.0,,1.0,Meteostat,Lang Son
2025-01-01 16:00:00,13.1,8.6,74.0,0.0,,129.0,7.2,,1018.1,,1.0,Meteostat,Lang Son
2025-01-01 17:00:00,12.7,8.4,75.0,0.0,,126.0,5.8,,1017.9,,1.0,Meteostat,Lang Son
2025-01-01 18:00:00,12.4,8.3,76.0,0.0,,126.0,5.0,,1017.9,,1.0,Meteostat,Lang Son
2025-01-01 19:00:00,12.4,8.5,77.0,0.0,,130.0,5.0,,1017.9,,1.0,Meteostat,Lang Son
2025-01-01 20:00:00,12.0,8.5,79.0,0.0,,120.0,4.0,,1017.6,,1.0,Meteostat,Lang Son
2025-01-01 21:00:00,11.9,8.4,79.0,0.0,,102.0,3.6,,1017.7,,1.0,Meteostat,Lang Son
2025-01-01 22:00:00,11.6,8.4,81.0,0.0,,72.0,3.6,,1018.0,,1.0,Meteostat,Lang Son
2025-01-01 23:00:00,11.2,8.4,83.0,0.0,,55.0,4.3,,1018.5,,1.0,Meteostat,Lang Son
2025-01-02 00:00:00,11.5,8.5,82.0,0.0,,47.0,4.7,,1019.3,,1.0,Meteostat,Lang Son
2025-01-02 01:00:00,15.0,9.8,71.0,0.0,,14.0,6.8,,1020.1,,1.0,Meteostat,Lang Son
2025-01-02 02:00:00,18.1,10.5,61.0,0.0,,7.0,6.8,,1020.9,,1.0,Meteostat,Lang Son
2025-01-02 03:00:00,20.0,11.0,56.0,0.0,,17.0,8.6,,1020.7,,1.0,Meteostat,Lang Son
2025-01-02 04:00:00,21.2,11.0,52.0,0.0,,22.0,9.4,,1020.2,,1.0,Meteostat,Lang Son
2025-01-02 05:00:00,21.9,10.7,49.0,0.0,,30.0,9.4,,1019.3,,1.0,Meteostat,Lang Son
2025-01-02 06:00:00,22.4,10.5,47.0,0.0,,32.0,8.6,,1018.0,,1.0,Meteostat,Lang Son
2025-01-02 07:00:00,22.8,10.2,45.0,0.0,,44.0,7.9,,1017.1,,1.0,Meteostat,Lang Son
2025-01-02 08:00:00,22.5,10.3,46.0,0.0,,40.0,8.6,,1016.7,,3.0,Meteostat,Lang Son
2025-01-02 09:00:00,21.8,10.3,48.0,0.0,,46.0,10.4,,1016.6,,3.0,Meteostat,Lang Son
2025-01-02 10:00:00,20.0,11.2,57.0,0.0,,26.0,9.4,,1017.4,,3.0,Meteostat,Lang Son
2025-01-02 11:00:00,17.8,10.9,64.0,0.0,,46.0,9.7,,1018.0,,3.0,Meteostat,Lang Son
2025-01-02 12:00:00,16.9,11.0,68.0,0.0,,42.0,9.4,,1018.8,,3.0,Meteostat,Lang Son
2025-01-02 13:00:00,17.0,10.4,65.0,0.0,,52.0,9.0,,1019.6,,3.0,Meteostat,Lang Son
2025-01-02 14:00:00,17.2,10.3,64.0,0.0,,63.0,7.6,,1020.3,,3.0,Meteostat,Lang Son
2025-01-02 15:00:00,16.4,10.3,67.0,0.0,,59.0,7.2,,1020.7,,3.0,Meteostat,Lang Son
2025-01-02 16:00:00,16.2,10.1,67.0,0.0,,63.0,6.8,,1020.9,,3.0,Meteostat,Lang Son
2025-01-02 17:00:00,15.6,9.7,68.0,0.0,,44.0,9.4,,1021.0,,3.0,Meteostat,Lang Son
2025-01-02 18:00:00,14.6,9.6,72.0,0.0,,41.0,9.0,,1021.1,,3.0,Meteostat,Lang Son
2025-01-02 19:00:00,13.8,9.2,74.0,0.0,,41.0,8.6,,1020.7,,3.0,Meteostat,Lang Son
2025-01-02 20:00:00,13.5,9.2,75.0,0.0,,41.0,9.7,,1020.5,,3.0,Meteostat,Lang Son
2025-01-02 21:00:00,13.1,9.5,79.0,0.0,,29.0,9.7,,1020.5,,2.0,Meteostat,Lang Son
2025-01-02 22:00:00,12.7,9.7,82.0,0.0,,17.0,11.5,,1020.8,,3.0,Meteostat,Lang Son
2025-01-02 23:00:00,12.7,9.9,83.0,0.0,,26.0,14.0,,1021.9,,1.0,Meteostat,Lang Son
2025-01-03 00:00:00,12.8,9.6,81.0,0.0,,26.0,14.4,,1022.6,,1.0,Meteostat,Lang Son
2025-01-03 01:00:00,14.8,9.6,71.0,0.0,,28.0,14.8,,1023.4,,1.0,Meteostat,Lang Son
2025-01-03 02:00:00,16.9,9.6,62.0,0.0,,34.0,14.8,,1024.0,,1.0,Meteostat,Lang Son
2025-01-03 03:00:00,18.3,8.6,53.0,0.0,,37.0,16.2,,1023.7,,1.0,Meteostat,Lang Son
2025-01-03 04:00:00,19.6,8.0,47.0,0.0,,35.0,15.5,,1022.8,,1.0,Meteostat,Lang Son
2025-01-03 05:00:00,20.7,8.0,44.0,0.0,,36.0,14.4,,1021.6,,1.0,Meteostat,Lang Son
2025-01-03 06:00:00,21.2,7.8,42.0,0.0,,43.0,13.3,,1019.7,,2.0,Meteostat,Lang Son
2025-01-03 07:00:00,21.5,8.0,42.0,0.0,,34.0,12.2,,1018.8,,1.0,Meteostat,Lang Son
2025-01-03 08:00:00,21.3,7.9,42.0,0.0,,28.0,11.9,,1018.4,,1.0,Meteostat,Lang Son
2025-01-03 09:00:00,20.7,8.3,45.0,0.0,,31.0,11.2,,1018.4,,1.0,Meteostat,Lang Son
2025-01-03 10:00:00,18.4,9.2,55.0,0.0,,44.0,6.8,,1018.5,,1.0,Meteostat,Lang Son
2025-01-03 11:00:00,15.8,8.8,63.0,0.0,,77.0,7.2,,1018.9,,1.0,Meteostat,Lang Son
2025-01-03 12:00:00,15.0,8.9,67.0,0.0,,90.0,5.4,,1018.5,,1.0,Meteostat,Lang Son
2025-01-03 13:00:00,14.0,8.6,70.0,0.0,,91.0,4.3,,1019.3,,1.0,Meteostat,Lang Son
2025-01-03 14:00:00,13.3,8.4,72.0,0.0,,105.0,5.0,,1019.7,,1.0,Meteostat,Lang Son
2025-01-03 15:00:00,12.6,8.5,76.0,0.0,,110.0,5.4,,1019.9,,1.0,Meteostat,Lang Son
2025-01-03 16:00:00,12.2,8.3,77.0,0.0,,106.0,6.1,,1019.8,,1.0,Meteostat,Lang Son
2025-01-03 17:00:00,11.7,8.4,80.0,0.0,,109.0,7.2,,1019.7,,1.0,Meteostat,Lang Son
2025-01-03 18:00:00,11.5,8.2,80.0,0.0,,103.0,6.1,,1019.5,,1.0,Meteostat,Lang Son
2025-01-03 19:00:00,11.3,7.8,79.0,0.0,,81.0,5.4,,1019.1,,1.0,Meteostat,Lang Son
2025-01-03 20:00:00,11.1,7.2,77.0,0.0,,55.0,4.7,,1018.8,,1.0,Meteostat,Lang Son
2025-01-03 21:00:00,10.8,7.1,78.0,0.0,,38.0,5.0,,1018.9,,1.0,Meteostat,Lang Son
2025-01-03 22:00:00,10.9,7.4,79.0,0.0,,46.0,4.3,,1018.7,,1.0,Meteostat,Lang Son
