time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,17.3,15.1,87.0,0.0,,294.0,20.9,,1017.4,,3.0,Meteostat,Quang Binh
2025-01-01 01:00:00,18.3,15.2,82.0,0.0,,295.0,22.0,,1018.1,,3.0,Meteostat,Quang Binh
2025-01-01 02:00:00,19.6,15.3,76.0,0.0,,300.0,20.2,,1018.9,,3.0,Meteostat,Quang Binh
2025-01-01 03:00:00,20.8,15.3,71.0,0.0,,318.0,18.4,,1018.7,,3.0,Meteostat,Quang Binh
2025-01-01 04:00:00,21.9,14.8,64.0,0.0,,1.0,22.0,,1018.3,,3.0,Meteostat,Quang Binh
2025-01-01 05:00:00,21.8,14.4,63.0,0.0,,6.0,23.0,,1017.2,,3.0,Meteostat,Quang Binh
2025-01-01 06:00:00,21.8,14.2,62.0,0.0,,5.0,22.7,,1016.0,,3.0,Meteostat,Quang Binh
2025-01-01 07:00:00,21.7,14.4,63.0,0.0,,2.0,23.0,,1014.9,,3.0,Meteostat,Quang Binh
2025-01-01 08:00:00,21.5,14.2,63.0,0.0,,359.0,21.6,,1014.4,,3.0,Meteostat,Quang Binh
2025-01-01 09:00:00,21.3,14.7,66.0,0.0,,357.0,21.6,,1014.6,,3.0,Meteostat,Quang Binh
2025-01-01 10:00:00,21.0,14.6,67.0,0.0,,356.0,20.9,,1014.8,,3.0,Meteostat,Quang Binh
2025-01-01 11:00:00,20.8,14.7,68.0,0.0,,350.0,19.4,,1015.1,,3.0,Meteostat,Quang Binh
2025-01-01 12:00:00,20.7,14.8,69.0,0.0,,344.0,17.6,,1015.6,,3.0,Meteostat,Quang Binh
2025-01-01 13:00:00,20.6,15.2,71.0,0.0,,337.0,17.3,,1016.2,,3.0,Meteostat,Quang Binh
2025-01-01 14:00:00,20.5,15.5,73.0,0.0,,336.0,16.2,,1016.2,,3.0,Meteostat,Quang Binh
2025-01-01 15:00:00,20.2,15.8,76.0,0.0,,336.0,15.8,,1016.2,,3.0,Meteostat,Quang Binh
2025-01-01 16:00:00,19.6,16.1,80.0,0.0,,323.0,14.4,,1016.2,,3.0,Meteostat,Quang Binh
2025-01-01 17:00:00,19.2,15.5,79.0,0.0,,303.0,16.2,,1016.1,,3.0,Meteostat,Quang Binh
2025-01-01 18:00:00,18.9,14.8,77.0,0.0,,298.0,16.9,,1016.0,,3.0,Meteostat,Quang Binh
2025-01-01 19:00:00,19.2,15.7,80.0,0.0,,303.0,14.4,,1015.6,,3.0,Meteostat,Quang Binh
