time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,14.8,14.0,95.0,0.0,,206.0,4.7,,1018.4,,1.0,Meteostat,Son La
2025-01-01 01:00:00,17.8,15.6,87.0,0.0,,194.0,5.4,,1018.9,,1.0,Meteostat,Son La
2025-01-01 02:00:00,19.7,16.5,82.0,0.0,,135.0,4.3,,1019.4,,2.0,Meteostat,Son La
2025-01-01 03:00:00,21.9,16.6,72.0,0.0,,64.0,3.2,,1019.3,,3.0,Meteostat,Son La
2025-01-01 04:00:00,23.0,16.8,68.0,0.0,,28.0,3.6,,1019.0,,3.0,Meteostat,Son La
2025-01-01 05:00:00,24.5,17.2,64.0,0.0,,349.0,5.4,,1017.3,,3.0,Meteostat,Son La
2025-01-01 06:00:00,25.5,17.4,61.0,0.0,,329.0,7.6,,1015.5,,3.0,Meteostat,Son La
2025-01-01 07:00:00,25.8,17.2,59.0,0.0,,312.0,10.1,,1014.3,,3.0,Meteostat,Son La
2025-01-01 08:00:00,25.9,17.3,59.0,0.0,,308.0,11.2,,1013.6,,3.0,Meteostat,Son La
2025-01-01 09:00:00,25.6,17.3,60.0,0.0,,320.0,9.7,,1013.7,,3.0,Meteostat,Son La
2025-01-01 10:00:00,23.9,17.6,68.0,0.0,,355.0,9.0,,1014.0,,3.0,Meteostat,Son La
2025-01-01 11:00:00,21.5,17.7,79.0,0.0,,345.0,3.6,,1014.5,,1.0,Meteostat,Son La
2025-01-01 12:00:00,20.6,17.4,82.0,0.0,,172.0,6.1,,1015.4,,1.0,Meteostat,Son La
2025-01-01 13:00:00,19.8,16.8,83.0,0.0,,175.0,9.0,,1015.9,,1.0,Meteostat,Son La
2025-01-01 14:00:00,19.5,16.3,82.0,0.0,,165.0,11.5,,1016.3,,1.0,Meteostat,Son La
2025-01-01 15:00:00,19.2,16.1,82.0,0.0,,165.0,11.9,,1016.6,,1.0,Meteostat,Son La
2025-01-01 16:00:00,18.7,15.9,84.0,0.0,,168.0,11.5,,1016.7,,1.0,Meteostat,Son La
2025-01-01 17:00:00,18.3,15.9,86.0,0.0,,168.0,10.8,,1016.6,,1.0,Meteostat,Son La
2025-01-01 18:00:00,18.1,15.9,87.0,0.0,,171.0,9.4,,1016.7,,1.0,Meteostat,Son La
2025-01-01 19:00:00,17.9,16.1,89.0,0.0,,168.0,9.4,,1016.7,,1.0,Meteostat,Son La
2025-01-01 20:00:00,17.7,16.0,90.0,0.0,,168.0,9.4,,1016.6,,1.0,Meteostat,Son La
2025-01-01 21:00:00,17.4,15.9,91.0,0.0,,169.0,9.4,,1016.5,,1.0,Meteostat,Son La
2025-01-01 22:00:00,17.3,15.8,91.0,0.0,,161.0,10.4,,1016.8,,1.0,Meteostat,Son La
2025-01-01 23:00:00,17.3,16.0,92.0,0.0,,158.0,11.5,,1017.2,,1.0,Meteostat,Son La
2025-01-02 00:00:00,17.5,16.0,91.0,0.0,,161.0,12.6,,1018.1,,1.0,Meteostat,Son La
2025-01-02 01:00:00,19.6,17.2,86.0,0.0,,151.0,12.6,,1019.0,,1.0,Meteostat,Son La
2025-01-02 02:00:00,21.5,17.3,77.0,0.0,,138.0,14.4,,1019.6,,1.0,Meteostat,Son La
2025-01-02 03:00:00,23.2,17.2,69.0,0.0,,132.0,15.8,,1019.7,,1.0,Meteostat,Son La
2025-01-02 04:00:00,24.5,17.2,64.0,0.0,,133.0,15.8,,1019.1,,2.0,Meteostat,Son La
2025-01-02 05:00:00,24.9,17.1,62.0,0.0,,133.0,15.5,,1018.4,,3.0,Meteostat,Son La
2025-01-02 06:00:00,25.1,17.1,61.0,0.0,,140.0,14.8,,1017.1,,3.0,Meteostat,Son La
2025-01-02 07:00:00,25.4,17.1,60.0,0.0,,145.0,14.4,,1016.1,,3.0,Meteostat,Son La
2025-01-02 08:00:00,25.1,17.1,61.0,0.0,,148.0,14.0,,1015.6,,3.0,Meteostat,Son La
2025-01-02 09:00:00,24.8,16.8,61.0,0.0,,139.0,14.0,,1015.3,,3.0,Meteostat,Son La
2025-01-02 10:00:00,23.5,16.3,64.0,0.0,,128.0,16.6,,1016.2,,3.0,Meteostat,Son La
2025-01-02 11:00:00,21.1,16.1,73.0,0.0,,130.0,15.1,,1017.3,,1.0,Meteostat,Son La
2025-01-02 12:00:00,20.1,15.9,77.0,0.0,,140.0,16.2,,1018.2,,1.0,Meteostat,Son La
2025-01-02 13:00:00,19.6,15.9,79.0,0.0,,143.0,16.6,,1018.9,,1.0,Meteostat,Son La
2025-01-02 14:00:00,19.3,15.8,80.0,0.0,,146.0,16.2,,1019.7,,1.0,Meteostat,Son La
2025-01-02 15:00:00,19.1,15.2,78.0,0.0,,146.0,16.9,,1020.2,,1.0,Meteostat,Son La
2025-01-02 16:00:00,18.8,14.9,78.0,0.0,,148.0,15.1,,1020.6,,3.0,Meteostat,Son La
2025-01-02 17:00:00,18.8,14.7,77.0,0.0,,148.0,14.0,,1020.7,,3.0,Meteostat,Son La
2025-01-02 18:00:00,18.5,14.4,77.0,0.0,,152.0,13.0,,1020.8,,2.0,Meteostat,Son La
2025-01-02 19:00:00,18.4,14.3,77.0,0.0,,151.0,12.2,,1020.5,,2.0,Meteostat,Son La
2025-01-02 20:00:00,18.3,14.2,77.0,0.0,,148.0,12.6,,1020.2,,2.0,Meteostat,Son La
2025-01-02 21:00:00,18.2,14.7,80.0,0.0,,151.0,11.9,,1020.4,,2.0,Meteostat,Son La
2025-01-02 22:00:00,17.8,14.9,83.0,0.0,,155.0,10.8,,1020.6,,2.0,Meteostat,Son La
2025-01-02 23:00:00,17.5,15.1,86.0,0.0,,157.0,10.8,,1021.2,,2.0,Meteostat,Son La
2025-01-03 00:00:00,17.3,15.1,87.0,0.0,,161.0,10.4,,1021.9,,1.0,Meteostat,Son La
2025-01-03 01:00:00,19.6,15.3,76.0,0.0,,143.0,12.6,,1022.5,,1.0,Meteostat,Son La
2025-01-03 02:00:00,21.2,15.3,69.0,0.0,,125.0,13.3,,1023.0,,1.0,Meteostat,Son La
2025-01-03 03:00:00,22.8,14.4,59.0,0.0,,114.0,17.3,,1023.0,,1.0,Meteostat,Son La
2025-01-03 04:00:00,24.0,14.1,54.0,0.0,,113.0,17.6,,1021.8,,1.0,Meteostat,Son La
2025-01-03 05:00:00,25.1,13.9,50.0,0.0,,116.0,16.6,,1020.2,,1.0,Meteostat,Son La
2025-01-03 06:00:00,25.6,14.1,49.0,0.0,,124.0,15.1,,1018.7,,3.0,Meteostat,Son La
2025-01-03 07:00:00,26.0,13.8,47.0,0.0,,122.0,12.6,,1017.8,,3.0,Meteostat,Son La
2025-01-03 08:00:00,25.8,14.0,48.0,0.0,,123.0,12.6,,1017.2,,3.0,Meteostat,Son La
2025-01-03 09:00:00,25.1,13.3,48.0,0.0,,127.0,14.0,,1016.9,,2.0,Meteostat,Son La
2025-01-03 10:00:00,23.7,13.8,54.0,0.0,,125.0,14.8,,1017.2,,3.0,Meteostat,Son La
2025-01-03 11:00:00,21.8,13.4,59.0,0.0,,130.0,14.8,,1018.0,,3.0,Meteostat,Son La
2025-01-03 12:00:00,20.2,14.3,69.0,0.0,,146.0,14.4,,1018.7,,3.0,Meteostat,Son La
