time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-03-18 18:00:00,14.6,11.7,83.0,,,324.0,4.7,,1023.1,,,Meteostat,Thanh Hoa
2025-03-18 19:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-18 20:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-18 21:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-18 22:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-18 23:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 00:00:00,13.5,11.2,86.0,,,329.0,7.9,,1024.9,,,Meteostat,Thanh Hoa
2025-03-19 01:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 02:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 03:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 04:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 05:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 06:00:00,23.0,11.7,49.0,,,94.0,12.2,,1023.0,,,Meteostat,Thanh Hoa
2025-03-19 07:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 08:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 09:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 10:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 11:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 12:00:00,18.0,13.3,74.0,,,71.0,10.8,,1022.2,,,Meteostat,Thanh Hoa
2025-03-19 13:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 14:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 15:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 16:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 17:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 18:00:00,13.4,12.6,95.0,,,318.0,7.2,,1024.3,,,Meteostat,Thanh Hoa
2025-03-19 19:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 20:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 21:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 22:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-19 23:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 00:00:00,14.0,12.2,89.0,,,331.0,10.4,,1025.7,,,Meteostat,Thanh Hoa
2025-03-20 01:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 02:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 03:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 04:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 05:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 06:00:00,22.8,11.5,49.0,,,84.0,10.8,,1022.9,,,Meteostat,Thanh Hoa
2025-03-20 07:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 08:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 09:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 10:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 11:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 12:00:00,17.2,12.7,75.0,,,113.0,6.5,,1021.2,,,Meteostat,Thanh Hoa
2025-03-20 13:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 14:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 15:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 16:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 17:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 18:00:00,13.2,12.7,97.0,,,321.0,6.5,,1022.8,,,Meteostat,Thanh Hoa
2025-03-20 19:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 20:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 21:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 22:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-20 23:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 00:00:00,13.8,12.7,93.0,,,317.0,8.6,,1023.2,,,Meteostat,Thanh Hoa
2025-03-21 01:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 02:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 03:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 04:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 05:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 06:00:00,23.4,11.8,48.0,,,88.0,10.8,,1020.4,,,Meteostat,Thanh Hoa
2025-03-21 07:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 08:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 09:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 10:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 11:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 12:00:00,18.1,14.8,81.0,,,91.0,6.8,,1018.3,,,Meteostat,Thanh Hoa
2025-03-21 13:00:00,,,,,,,,,,,,Meteostat,Thanh Hoa
2025-03-21 14:00:00,16.4,14.2,87.0,,,95.0,8.3,,1020.7,,,Meteostat,Thanh Hoa
2025-03-21 15:00:00,16.2,14.0,87.0,0.0,,105.0,9.4,,1021.0,,1.0,Meteostat,Thanh Hoa
2025-03-21 16:00:00,16.1,13.9,87.0,0.0,,124.0,9.7,,1021.3,,3.0,Meteostat,Thanh Hoa
2025-03-21 17:00:00,16.0,14.2,89.0,0.0,,150.0,8.6,,1021.2,,3.0,Meteostat,Thanh Hoa
2025-03-21 18:00:00,15.5,14.2,92.0,0.0,,271.0,5.0,,1020.6,,3.0,Meteostat,Thanh Hoa
2025-03-21 19:00:00,14.9,14.4,97.0,0.0,,268.0,3.6,,1019.5,,3.0,Meteostat,Thanh Hoa
2025-03-21 20:00:00,14.1,13.9,99.0,0.0,,285.0,4.3,,1019.1,,3.0,Meteostat,Thanh Hoa
2025-03-21 21:00:00,13.4,13.4,100.0,0.0,,304.0,5.0,,1018.9,,3.0,Meteostat,Thanh Hoa
2025-03-21 22:00:00,13.3,13.3,100.0,0.0,,330.0,5.8,,1019.3,,5.0,Meteostat,Thanh Hoa
2025-03-21 23:00:00,13.0,13.0,100.0,0.0,,316.0,5.4,,1020.1,,5.0,Meteostat,Thanh Hoa
2025-03-22 00:00:00,14.2,14.0,99.0,0.0,,300.0,6.8,,1020.6,,5.0,Meteostat,Thanh Hoa
2025-03-22 01:00:00,17.7,16.0,90.0,0.0,,295.0,5.0,,1021.3,,5.0,Meteostat,Thanh Hoa
2025-03-22 02:00:00,20.7,16.5,77.0,0.0,,297.0,3.2,,1021.6,,1.0,Meteostat,Thanh Hoa
2025-03-22 03:00:00,22.4,16.4,69.0,0.0,,231.0,2.9,,1021.3,,2.0,Meteostat,Thanh Hoa
2025-03-22 04:00:00,23.6,16.1,63.0,0.0,,190.0,2.9,,1020.5,,1.0,Meteostat,Thanh Hoa
2025-03-22 05:00:00,24.3,16.3,61.0,0.0,,167.0,5.8,,1020.0,,1.0,Meteostat,Thanh Hoa
2025-03-22 06:00:00,24.8,16.0,58.0,0.0,,139.0,8.6,,1018.7,,1.0,Meteostat,Thanh Hoa
2025-03-22 07:00:00,24.9,15.5,56.0,0.0,,122.0,10.4,,1017.4,,1.0,Meteostat,Thanh Hoa
2025-03-22 08:00:00,24.7,15.3,56.0,0.0,,125.0,11.9,,1016.3,,2.0,Meteostat,Thanh Hoa
2025-03-22 09:00:00,24.0,15.5,59.0,0.0,,125.0,12.2,,1015.9,,3.0,Meteostat,Thanh Hoa
2025-03-22 10:00:00,22.4,15.3,64.0,0.0,,125.0,12.6,,1015.9,,1.0,Meteostat,Thanh Hoa
2025-03-22 11:00:00,20.3,15.9,76.0,0.0,,121.0,13.0,,1016.3,,1.0,Meteostat,Thanh Hoa
2025-03-22 12:00:00,19.2,16.4,84.0,0.0,,126.0,13.0,,1017.0,,1.0,Meteostat,Thanh Hoa
2025-03-22 13:00:00,18.7,16.7,88.0,0.0,,129.0,11.9,,1017.7,,1.0,Meteostat,Thanh Hoa
2025-03-22 14:00:00,18.3,16.8,91.0,0.0,,138.0,11.5,,1018.4,,1.0,Meteostat,Thanh Hoa
2025-03-22 15:00:00,18.1,16.9,93.0,0.0,,149.0,11.5,,1018.7,,1.0,Meteostat,Thanh Hoa
2025-03-22 16:00:00,17.2,16.4,95.0,0.0,,193.0,7.9,,1018.9,,1.0,Meteostat,Thanh Hoa
2025-03-22 17:00:00,16.6,16.3,98.0,0.0,,223.0,7.2,,1018.7,,1.0,Meteostat,Thanh Hoa
2025-03-22 18:00:00,16.1,16.1,100.0,0.0,,241.0,6.5,,1018.2,,1.0,Meteostat,Thanh Hoa
2025-03-22 19:00:00,15.6,15.6,100.0,0.0,,274.0,5.0,,1017.8,,5.0,Meteostat,Thanh Hoa
2025-03-22 20:00:00,15.1,15.1,100.0,0.0,,305.0,3.6,,1017.4,,5.0,Meteostat,Thanh Hoa
2025-03-22 21:00:00,15.2,15.2,100.0,0.0,,196.0,5.0,,1016.6,,5.0,Meteostat,Thanh Hoa
2025-03-22 22:00:00,15.1,15.1,100.0,0.0,,167.0,5.0,,1016.7,,2.0,Meteostat,Thanh Hoa
2025-03-22 23:00:00,14.9,14.9,100.0,0.0,,152.0,4.3,,1017.4,,5.0,Meteostat,Thanh Hoa
2025-03-23 00:00:00,16.4,16.1,98.0,0.0,,171.0,5.8,,1018.1,,5.0,Meteostat,Thanh Hoa
2025-03-23 01:00:00,19.7,17.7,88.0,0.0,,182.0,4.3,,1018.6,,1.0,Meteostat,Thanh Hoa
2025-03-23 02:00:00,21.9,18.5,81.0,0.0,,176.0,10.8,,1019.6,,1.0,Meteostat,Thanh Hoa
2025-03-23 03:00:00,23.2,18.3,74.0,0.2,,168.0,11.9,,1019.1,,17.0,Meteostat,Thanh Hoa
2025-03-23 04:00:00,24.2,18.6,71.0,0.2,,167.0,12.2,,1018.4,,7.0,Meteostat,Thanh Hoa
2025-03-23 05:00:00,24.8,18.7,69.0,0.1,,159.0,12.6,,1017.0,,7.0,Meteostat,Thanh Hoa
2025-03-23 06:00:00,24.8,18.7,69.0,0.0,,151.0,15.1,,1016.0,,3.0,Meteostat,Thanh Hoa
2025-03-23 07:00:00,24.8,18.5,68.0,0.0,,143.0,16.6,,1015.0,,2.0,Meteostat,Thanh Hoa
2025-03-23 08:00:00,24.4,18.1,68.0,0.0,,132.0,17.3,,1014.2,,1.0,Meteostat,Thanh Hoa
2025-03-23 09:00:00,23.7,18.1,71.0,0.0,,129.0,16.6,,1014.0,,1.0,Meteostat,Thanh Hoa
2025-03-23 10:00:00,22.5,18.1,76.0,0.0,,129.0,15.1,,1014.1,,1.0,Meteostat,Thanh Hoa
2025-03-23 11:00:00,21.3,18.5,84.0,0.0,,128.0,12.2,,1014.3,,1.0,Meteostat,Thanh Hoa
2025-03-23 12:00:00,20.2,18.5,90.0,0.0,,124.0,11.9,,1014.8,,1.0,Meteostat,Thanh Hoa
2025-03-23 13:00:00,19.6,18.6,94.0,0.0,,128.0,11.2,,1015.5,,1.0,Meteostat,Thanh Hoa
2025-03-23 14:00:00,19.1,18.3,95.0,0.0,,139.0,8.6,,1016.4,,1.0,Meteostat,Thanh Hoa
2025-03-23 15:00:00,18.9,18.2,96.0,0.0,,144.0,6.5,,1016.6,,1.0,Meteostat,Thanh Hoa
2025-03-23 16:00:00,18.8,18.3,97.0,0.0,,157.0,5.0,,1016.2,,1.0,Meteostat,Thanh Hoa
2025-03-23 17:00:00,18.1,17.9,99.0,0.0,,264.0,2.9,,1016.3,,1.0,Meteostat,Thanh Hoa
2025-03-23 18:00:00,17.7,17.7,100.0,0.0,,320.0,2.5,,1016.1,,5.0,Meteostat,Thanh Hoa
2025-03-23 19:00:00,17.3,17.3,100.0,0.0,,354.0,3.2,,1015.5,,5.0,Meteostat,Thanh Hoa
2025-03-23 20:00:00,17.1,17.1,100.0,0.0,,354.0,3.6,,1015.0,,5.0,Meteostat,Thanh Hoa
2025-03-23 21:00:00,17.0,17.0,100.0,0.0,,359.0,3.6,,1014.9,,5.0,Meteostat,Thanh Hoa
2025-03-23 22:00:00,17.3,17.3,100.0,0.0,,52.0,5.4,,1014.3,,5.0,Meteostat,Thanh Hoa
