time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,source,province
2025-01-01 00:00:00,18.9,17.9,94.0,0.0,,260.0,3.6,,1017.6,,3.0,Meteostat,Thua Thien Hue
2025-01-01 01:00:00,19.0,17.0,88.0,0.0,,270.0,7.6,,1019.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 02:00:00,19.0,18.0,94.0,0.0,,270.0,14.8,,1018.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 03:00:00,19.6,17.2,86.0,0.0,,290.0,10.8,,1018.9,,3.0,Meteostat,Thua Thien Hue
2025-01-01 04:00:00,20.0,17.0,83.0,0.0,,270.0,11.2,,1018.0,,3.0,Meteostat,Thua Thien Hue
2025-01-01 05:00:00,20.0,17.0,83.0,0.0,,280.0,11.2,,1017.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 06:00:00,20.3,16.9,81.0,0.0,,320.0,7.2,,1016.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 07:00:00,20.0,17.0,83.0,0.0,,240.0,9.4,,1015.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 08:00:00,21.0,17.0,78.0,0.0,,270.0,9.4,,1014.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 09:00:00,20.0,17.6,86.0,0.2,,320.0,7.2,,1014.8,,5.0,Meteostat,Thua Thien Hue
2025-01-01 10:00:00,20.0,18.0,88.0,0.0,,240.0,7.6,,1015.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 11:00:00,20.0,18.0,88.0,0.0,,260.0,7.6,,1015.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 12:00:00,19.2,17.9,92.0,0.0,,270.0,3.6,,1015.9,,5.0,Meteostat,Thua Thien Hue
2025-01-01 13:00:00,20.0,18.0,88.0,0.0,,170.0,1.8,,1016.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 14:00:00,19.0,18.0,94.0,0.0,,300.0,3.6,,1016.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 15:00:00,19.0,18.2,95.0,0.0,,200.0,3.6,,1016.7,,5.0,Meteostat,Thua Thien Hue
2025-01-01 16:00:00,19.0,18.0,94.0,0.0,,240.0,5.4,,1016.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 17:00:00,19.0,18.0,94.0,0.0,,180.0,1.8,,1016.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 18:00:00,18.8,18.1,96.0,0.0,,140.0,1.8,,1015.8,,5.0,Meteostat,Thua Thien Hue
2025-01-01 19:00:00,19.0,18.0,94.0,0.0,,210.0,1.8,,1015.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 20:00:00,19.0,18.0,94.0,0.0,,290.0,3.6,,1015.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 21:00:00,19.0,18.3,96.0,0.0,,260.0,5.4,,1015.6,,5.0,Meteostat,Thua Thien Hue
2025-01-01 22:00:00,19.0,18.0,94.0,0.0,,270.0,5.4,,1016.0,,5.0,Meteostat,Thua Thien Hue
2025-01-01 23:00:00,19.0,18.0,94.0,0.0,,210.0,3.6,,1016.0,,3.0,Meteostat,Thua Thien Hue
2025-01-02 00:00:00,19.0,18.5,97.0,0.0,,240.0,5.4,,1016.9,,3.0,Meteostat,Thua Thien Hue
2025-01-02 01:00:00,19.0,19.0,100.0,0.0,,280.0,9.4,,1018.0,,3.0,Meteostat,Thua Thien Hue
2025-01-02 02:00:00,20.0,19.0,94.0,0.0,,270.0,11.2,,1018.0,,3.0,Meteostat,Thua Thien Hue
2025-01-02 03:00:00,19.5,18.8,96.0,0.0,,290.0,7.2,,1018.4,,3.0,Meteostat,Thua Thien Hue
2025-01-02 04:00:00,20.0,19.0,94.0,0.1,,280.0,11.2,,1017.0,,7.0,Meteostat,Thua Thien Hue
2025-01-02 05:00:00,20.0,19.0,94.0,0.0,,280.0,13.0,,1017.0,,3.0,Meteostat,Thua Thien Hue
2025-01-02 06:00:00,19.5,18.7,95.0,0.0,,290.0,7.2,,1016.6,,3.0,Meteostat,Thua Thien Hue
2025-01-02 07:00:00,20.0,19.0,94.0,0.0,,280.0,11.2,,1016.0,,3.0,Meteostat,Thua Thien Hue
2025-01-02 08:00:00,19.0,19.0,100.0,0.2,,280.0,13.0,,1015.0,,7.0,Meteostat,Thua Thien Hue
2025-01-02 09:00:00,19.5,18.7,95.0,0.1,,270.0,3.6,,1015.8,,7.0,Meteostat,Thua Thien Hue
2025-01-02 10:00:00,19.0,19.0,100.0,0.1,,230.0,5.4,,1016.0,,7.0,Meteostat,Thua Thien Hue
2025-01-02 11:00:00,19.0,18.0,94.0,0.0,,210.0,5.4,,1016.0,,5.0,Meteostat,Thua Thien Hue
2025-01-02 12:00:00,19.0,18.2,95.0,0.0,,230.0,3.6,,1016.8,,5.0,Meteostat,Thua Thien Hue
2025-01-02 13:00:00,20.0,18.0,88.0,0.0,,230.0,3.6,,1017.0,,5.0,Meteostat,Thua Thien Hue
2025-01-02 14:00:00,19.0,18.0,94.0,0.0,,230.0,5.4,,1017.0,,5.0,Meteostat,Thua Thien Hue
2025-01-02 15:00:00,19.0,18.2,95.0,0.0,,250.0,3.6,,1018.0,,3.0,Meteostat,Thua Thien Hue
2025-01-02 16:00:00,19.0,18.0,94.0,0.0,,260.0,3.6,,1018.0,,3.0,Meteostat,Thua Thien Hue
2025-01-02 17:00:00,19.0,19.0,100.0,0.0,,250.0,7.6,,1017.0,,3.0,Meteostat,Thua Thien Hue
2025-01-02 18:00:00,18.9,18.4,97.0,0.1,,290.0,3.6,,1017.8,,7.0,Meteostat,Thua Thien Hue
2025-01-02 19:00:00,19.0,19.0,100.0,0.2,,270.0,13.0,,1017.0,,7.0,Meteostat,Thua Thien Hue
2025-01-02 20:00:00,19.0,18.0,94.0,0.2,,270.0,14.8,,1017.0,,7.0,Meteostat,Thua Thien Hue
2025-01-02 21:00:00,19.0,18.2,95.0,0.4,,320.0,7.2,,1017.3,,8.0,Meteostat,Thua Thien Hue
2025-01-02 22:00:00,19.0,18.0,94.0,0.5,,280.0,16.6,,1017.0,,8.0,Meteostat,Thua Thien Hue
2025-01-02 23:00:00,19.0,18.0,94.0,0.7,,250.0,9.4,,1018.0,,8.0,Meteostat,Thua Thien Hue
2025-01-03 00:00:00,19.1,18.8,98.0,0.6,,320.0,7.2,,1019.1,,8.0,Meteostat,Thua Thien Hue
2025-01-03 01:00:00,19.0,19.0,100.0,0.5,,270.0,9.4,,1020.0,,8.0,Meteostat,Thua Thien Hue
2025-01-03 02:00:00,19.0,19.0,100.0,0.5,,280.0,13.0,,1020.0,,8.0,Meteostat,Thua Thien Hue
2025-01-03 03:00:00,19.6,18.3,92.0,1.2,,360.0,3.6,,1020.4,,9.0,Meteostat,Thua Thien Hue
2025-01-03 04:00:00,19.0,19.0,100.0,4.6,,280.0,14.8,,1019.0,,9.0,Meteostat,Thua Thien Hue
2025-01-03 05:00:00,19.0,19.0,100.0,3.6,,290.0,11.2,,1018.0,,9.0,Meteostat,Thua Thien Hue
2025-01-03 06:00:00,20.9,18.5,86.0,0.4,,350.0,9.4,,1018.2,,8.0,Meteostat,Thua Thien Hue
2025-01-03 07:00:00,21.0,17.0,78.0,0.0,,20.0,13.0,,1017.0,,3.0,Meteostat,Thua Thien Hue
2025-01-03 08:00:00,21.0,17.0,78.0,0.0,,310.0,3.6,,1017.0,,3.0,Meteostat,Thua Thien Hue
2025-01-03 09:00:00,19.2,17.9,92.0,0.0,,50.0,3.6,,1017.3,,3.0,Meteostat,Thua Thien Hue
2025-01-03 10:00:00,20.0,18.0,88.0,0.0,,290.0,16.6,,1017.0,,3.0,Meteostat,Thua Thien Hue
2025-01-03 11:00:00,19.0,18.0,94.0,0.0,,290.0,18.4,,1017.0,,3.0,Meteostat,Thua Thien Hue
2025-01-03 12:00:00,18.4,17.4,94.0,0.0,,250.0,5.4,,1018.2,,2.0,Meteostat,Thua Thien Hue
